"dccontributorauthor","dccontributorother","dccoveragespatial","dccoveragetemporal","dcdatecreated","dcdateissued","dcdescription","dcdescriptionabstract","dcdescriptionsponsorship","dcformat","dcformatextent","dcformatmedium","dcformatmimetype","dcidentifierBG","dcidentifierentitat","dcidentifieruri","dcidentifiervideo","dclanguage","dcpublisher","dcrelation","dcrelationisbasedon","dcrelationisbasisfor","dcrelationisformatof","dcrelationisreferencedby","dcrights","dcrightsaccessrights","dcrightsnotes","dcrightsrightsHolder","dcrightsuri","dcsubject","dcsubjectcategory","dcsubjectforma","dctitle","dctitlealternative","dctype","dctypedriver","Unnamed: 36"
"Alabern Casas, Pau Janet","","Catalonia | Cataluña | Catalunya","1867","1867",1867,"Original file at: Arxiu Històric de la Ciutat de Barcelona (reference: AHCB 04373 ). | Issued date based on created date | Archivo dipositario del documento original: Arxiu Històric de la Ciutat de Barcelona (registro original: AHCB 04373 ). | Fecha de publicación basada en la fecha de creación | Arxiu dipositari del document original: Arxiu Històric de la Ciutat de Barcelona (registre original: AHCB 04373 ). | Data de publicació basada en la data de creació.","Wifredo el Velloso y las cuatro barras | Guifré el Pilós i les quatre barres | Wifredo el Velloso and the four bars","Digitalitzat per l'Arxiu Històric de la Ciutat de Barcelona","image/jpeg","1 fotografia","","image/jpeg","","","http://hdl.handle.net/11703/111863","","zxx","","","","","","","Domini públic","info:eu-repo/semantics/openAccess","","Ajuntament de Barcelona | Arxiu Històric de la Ciutat de Barcelona","http://creativecommons.org/publicdomain/mark/1.0/deed.es | http://creativecommons.org/publicdomain/mark/1.0/deed.ca | http://creativecommons.org/publicdomain/mark/1.0/deed.en","Llegendes | Heràldica | Guifré I, comte de Barcelona, aproximadament 840-897 | Legends | Heraldry | Guifré I, comte de Barcelona, aproximadament 840-897 | Leyendas | Heráldica | Guifré I, comte de Barcelona, aproximadament 840-897","","fotografies | documents digitalitzats","Lluís el Pietós i el Comte Guifré el Pelós. Escena Que Representa, Segons la Llegenda, el Moment en el Qual el Rei Dibuixa Quatre Barres de Sang a l'Escut Daurat Comte","","image","info:eu-repo/semantics/other",""
"Secretaría de Obras Públicas","Oficina del Historiador de la Ciudad de La Habana","Havana (Cuba) | La Habana (Cuba) | L'Havana (Cuba)","1930 | 1931 | 1932 | 1933 | 1934 | 1935 | 1936 | 1937 | 1938 | 1939 | 1940","1930",1930,"Original file at: Fototeca de la Oficina del Historiador de la Ciudad de La Habana (reference:08446 1948 ) | Approximate creation and publication dates | Archivo depositario del documento  original: Oficina del Historiador de la Ciudad de La Habana(registro original:08446 1948 ) | En la fecha de creación y de publicación se ha hecho constar la fecha inicial. Son fechas aproximadas, que van de 1930 a 1940. | .Esta imagen forma parte del Fondo del Ministerio de la Construcción, perteneciente a la Fototeca Histórica desde el año 2014. | Arxiu dipositari del document original: Oficina del Historiador de la Ciudad de La Habana(registre original:08446 1948 ) | A la data de creació i de publicació s'ha fet constar la data inicial. Són dates aproximades, que van de 1930 a 1940.","Imatge de cos complet de l'Estàtua de la República, situada al Capitoli de l'Havana. Obra d'Angelo Zanelli. | Full-body image of the Statue of the Republic, located in the Capitol of Havana. Work of Ángelo Zanelli. | Imagen de cuerpo completo de la Estatua de La República, ubicada en el Capitolio de La Habana. Obra de Ángelo Zanelli.","Digitalitzat per la Oficina del Historiador de la Ciudad de La Habana","image/jpeg","1 fotografia","","image/jpeg","","","http://hdl.handle.net/11703/114360","","zxx","","","","","Reproducció digital del document en suport original","","Domini públic","info:eu-repo/semantics/openAccess","","","http://creativecommons.org/publicdomain/mark/1.0/deed.ca | http://creativecommons.org/publicdomain/mark/1.0/deed.en | http://creativecommons.org/publicdomain/mark/1.0/deed.es","Carrers | Tramvies | Streets | Street-railroads | Calles | Tranvías","","fotografies | documents digitalitzats","Calles Carlos III y Belascoaín","","image","info:eu-repo/semantics/other",""
"Ballell, Frederic","","Barcelona. Districte 5. Sarrià-Sant Gervasi | Barcelona. District 5. Sarrià-Sant Gervasi | Barcelona. Distrito 5. Sarrià-Sant Gervasi","1905","1905",1905,"Arxiu dipositari del document original: Arxiu Fotogràfic de la Ciutat de Barcelona (registre original:bcn005106). | Data de publicació basada en la data de creació | Original file at: Arxiu Fotogràfic de la Ciutat de Barcelona (reference: bcn005106). | Issued date based on created date | Archivo dipositario del documento original: Arxiu Fotogràfic de la Ciutat de Barcelona (registro original:bcn005106). | Fecha de publicación basada en la fecha de creación","Interior de la fàbrica Hispano Suiza de fabricació d'automòbils | Interior of the Hispano Suiza factory of automobile manufacturing | Interior de la fábrica Hispano Suiza de fabricación de automóviles","","image/jpeg","1 fotografia","","image/jpeg","","","http://hdl.handle.net/11703/111494","","zxx","","","","","","","CC-BY-NC-ND","info:eu-repo/semantics/openAccess","","Ajuntament de Barcelona | Arxiu Fotogràfic de la Ciutat de Barcelona","https://creativecommons.org/licenses/by-nc-nd/4.0/deed.ca | https://creativecommons.org/licenses/by-nc-nd/4.0/deed.en | https://creativecommons.org/licenses/by-nc-nd/4.0/deed.es","Fàbriques | Treballadors | Hispano-Suiza (Firma) | Automòbils | Factories | Workers | Hispano-Suiza (Firma) | Automobiles | Fábricas | Trabajadores | Hispano-Suiza (Firma) | Automóviles","","fotografies | documents digitalitzats","Interior de la fàbrica Hispano Suiza","","image","info:eu-repo/semantics/other",""
"Autor desconegut","Oficina del Historiador de la Ciudad de La Habana","Havana (Cuba) | La Habana (Cuba) | L'Havana (Cuba)","1900 | 1901 | 1902 | 1903 | 1904 | 1905 | 1906 | 1907 | 1908 | 1909 | 1910 | 1911 | 1912 | 1913 | 1914 | 1915 | 1916 | 1917 | 1918 | 1919 | 1920 | 1921 | 1922 | 1923 | 1924 | 1925 | 1926 | 1927 | 1928 | 1929 | 1930","1900",1900,"Original file at: Fototeca de la Oficina del Historiador de la Ciudad de La Habana (reference:2-7514-1) | Unknow author | Approximate creation and publication dates | Archivo depositario del documento  original: Fototeca Histórica Oficina del Historiador del La Habana(registro original:2-7514-1) | Autor desconocido | En la fecha de creación y de publicación se ha hecho constar la fecha inicial. Son fechas aproximadas, que van de 1900 a 1930. | Arxiu dipositari del document original: Fototeca Histórica Oficina del Historiador del La Habana(registre original:2-7514-1) | Autor desconegut | A la data de creació i de publicació s'ha fet constar la data inicial. Són dates aproximades, que van de 1900 a 1930.","La primera ocupació militar dels Estats Units a Cuba, va tenir lloc de 1899-1902, com a resultat de l'acordat en el Tractat de Paris, en signar la rendició d'Espanya. Acaba amb la instauració de la República de Cuba el 20 de maig del 1902. | The first military occupation of the United States in Cuba, took place from 1899-1902, as a result of what was agreed in the Treaty of Paris, when signing the surrender of Spain. It ends with the installation of the Republic of Cuba on May 20, 1902. | La primera ocupación militar de los Estados Unidos en Cuba, tuvo lugar de 1899-1902, como resultado de lo acordado en el Tratado de Paris, al firmar la rendición de España. Termina con la instauración de la República de Cuba el 20 de mayo de 1902.","Digitalitzat per la Oficina del Historiador de la Ciudad de La Habana","image/jpeg","1 fotografia","","image/jpeg","","","http://hdl.handle.net/11703/114401","","zxx","","","","","Reproducció digital del document en suport original","","Domini públic","info:eu-repo/semantics/openAccess","","","http://creativecommons.org/publicdomain/mark/1.0/deed.ca | http://creativecommons.org/publicdomain/mark/1.0/deed.en | http://creativecommons.org/publicdomain/mark/1.0/deed.es","Molls | Edificis militars | Banderes | Wharves | Military buildings | Flags | Muelles | Edificio militar | Banderas","","fotografies | documents digitalitzats","Castillo San Salvador de la Punta. Izamiento de bandera.","","image","info:eu-repo/semantics/other",""
"Secretaría de Obras Públicas","Oficina del Historiador de la Ciudad de La Habana","Havana (Cuba) | La Habana (Cuba) | L'Havana (Cuba)","1928","1928",1928,"Original file at: Fototeca de la Oficina del Historiador de la Ciudad de La Habana (reference:AER 1928 11682) | Archivo depositario del documento  original: Fototeca Histórica Oficina del Historiador del la ciudad de La Habana(registro original:AER 1928 11682) | Esta imagen forma parte del Fondo del Ministerio de la Construcción, perteneciente a la Fototeca Histórica desde el año 2014. | Arxiu dipositari del document original: Fototeca Histórica Oficina del Historiador del la ciudad de La Habana(registre original:AER 1928 11682)","Datada setembre de 1928. Es distingeix el que després seria l'Hotel Nacional de Cuba, inaugurat el desembre de 1930. | Dated September 1928. It distinguishes what would later be the National Hotel of Cuba, inaugurated in December 1930. | Fechada septiembre de 1928. Se distingue lo que después sería el Hotel Nacional de Cuba, inaugurado en diciembre de 1930.","Digitalitzat per la Oficina del Historiador de la Ciudad de La Habana","image/jpeg","1 fotografia","","image/jpeg","","","http://hdl.handle.net/11703/114385","","zxx","","","","","Reproducció digital del document en suport original","","Domini públic","info:eu-repo/semantics/openAccess","","","http://creativecommons.org/publicdomain/mark/1.0/deed.ca | http://creativecommons.org/publicdomain/mark/1.0/deed.en | http://creativecommons.org/publicdomain/mark/1.0/deed.es","Urbanisme | Carrers | City planning | Streets | Urbanismo | Calles","","fotografies | documents digitalitzats","Vista aérea de La Habana","","image","info:eu-repo/semantics/other",""
"Autor desconegut","Oficina del Historiador de la Ciudad de La Habana","Havana (Cuba) | La Habana (Cuba) | L'Havana (Cuba)","1929","1929",1929,"Original file at: Fototeca de la Oficina del Historiador de la Ciudad de La Habana (reference:Segundo Cabo-1) | Unknow author | Archivo depositario del documento  original: Fototeca Histórica Oficina del Historiador del La Habana(registro original:Segundo Cabo-1) | Autor desconocido | Pertenece al Album A50. | Arxiu dipositari del document original: Fototeca Histórica Oficina del Historiador del La Habana(registre original:Segundo Cabo-1) | Autor desconegut","El Castell San Salvador de La Punta, situat al litoral nord havaner, és una de les cinc fortificacions que integren el sistema de fortificacions declarat Patrimoni de la Humanitat el 1982. Comencen les seves tasques de construcció en 1589, culminant-en 16 | The Castillo San Salvador of La Punta, located on the north coast of Havana, is one of the five fortifications that make up the fortification system declared a World Heritage Site in 1982. They begin their construction work in 1589, culminating in 1630. | El Castillo San Salvador de La Punta, ubicado en el litoral norte habanero, es una de las cinco fortificaciones que integran el sistema de fortificaciones declarado Patrimonio de la Humanidad en 1982. Comienzan sus labores de construcción en 1589, culmina","Digitalitzat per la Oficina del Historiador de la Ciudad de La Habana","image/jpeg","1 fotografia","","image/jpeg","","","http://hdl.handle.net/11703/114418","","zxx","","","","","Reproducció digital del document en suport original","","Domini públic","info:eu-repo/semantics/openAccess","","","http://creativecommons.org/publicdomain/mark/1.0/deed.ca | http://creativecommons.org/publicdomain/mark/1.0/deed.en | http://creativecommons.org/publicdomain/mark/1.0/deed.es","Places | Patrimoni cultural | Monuments | Plazas | Cultural heritage | Monuments | Plazas | Patrimonio cultural | Monumentos","","fotografies | documents digitalitzats","Palacio del Segundo Cabo","","image","info:eu-repo/semantics/other",""
"Brangulí Claramunt, Joaquim","","Barcelona. Districte 2. Eixample | Catalunya, Plaça (Barcelona) | Barcelona. District 2. Eixample | Catalunya, Square (Barcelona) | Barcelona. Distrito 2. Eixample | Catalunya, Plaza (Barcelona)","1917","1917",1917,"Arxiu dipositari del document original: Arxiu Nacional de Catalunya (registre original: ANC-1-42-N-15809) | Data de publicació basada en la data de creació | Original file at: Arxiu Nacional de Catalunya (reference: ANC-1-42-N-15809) | Issued date based on created date | Archivo dipositario del documento original:Arxiu Nacional de Catalunya (registro original:ANC-1-42-N-15809) | Fecha de publicación basada en la fecha de creación","Canó dels membres de l'exèrcit que custodien la ciutat en declarar-se l'estat de guerra. Plaça de Catalunya, Barcelona. | Cannon of the members of the army that guard the city in declaring a state of war. Plaza de Cataluña, Barcelona. | Cañón de los miembros del ejército que custodian la ciudad en declararse el estado de guerra. Plaza de Cataluña, Barcelona.","Digitalitzat per l'Arxiu Nacional de Catalunya","image/jpeg","1 fotografia","","image/jpeg","","","http://hdl.handle.net/11703/114465","","zxx","","","","","","https://www.europeana.eu/portal/es/record/2024907/photography_ProvidedCHO_Generalitat_de_Catalunya__Arxiu_Nacional_de_Catalunya_ANC_1_42_N_15809.html?q=Militars+amb+un+can%C3%B3#dcId=1550052369441&p=1","CC-BY-NC-ND","info:eu-repo/semantics/openAccess","","Arxiu Nacional de Catalunya","https://creativecommons.org/licenses/by-nc-nd/4.0/deed.ca | https://creativecommons.org/licenses/by-nc-nd/4.0/deed.en | https://creativecommons.org/licenses/by-nc-nd/4.0/deed.es","Militars | Poders d'excepció | Soldiers | War and emergency powers | Militares | Estado de excepción","","fotografies | documents digitalitzats","Militars amb un canó custodiant la ciutat en declarar-se l'estat de guerra a la ciutat de Barcelona i província","","image","info:eu-repo/semantics/other",""
"Secretaría de Obras Públicas","Oficina del Historiador de la Ciudad de La Habana","Havana (Cuba) | La Habana (Cuba) | L'Havana (Cuba)","1928","1928",1928,"Original file at: Fototeca de la Oficina del Historiador de la Ciudad de La Habana (reference: AER 1928 05322 ) | Arxiu dipositari del document original: Fototeca Histórica Oficina del Historiador del la ciudad de La Habana(registre original:AER 1928 05322) | Archivo depositario del documento  original: Fototeca Histórica Oficina del Historiador del la ciudad de La Habana(registro original:AER 1928 05322)","Datada 20 de desembre de 1928. Aquesta imatge forma part del Fons del Ministeri de la Construcció, pertanyent a la Fototeca Històrica des de l'any 2014. | Dated December 20, 1928. This image is part of the Fund of the Ministry of Construction, belonging to the Historical Photo Library since 2014. | Fechada 20 de diciembre de 1928. Esta imagen forma parte del Fondo del Ministerio de la Construcción, perteneciente a la Fototeca Histórica desde el año 2014.","Digitalitzat per la Oficina del Historiador de la Ciudad de La Habana","image/jpeg","1 fotografia","","image/jpeg","","","http://hdl.handle.net/11703/114379","","zxx","","","","","Reproducció digital del document en suport original","","Domini públic","info:eu-repo/semantics/openAccess","","","http://creativecommons.org/publicdomain/mark/1.0/deed.ca | http://creativecommons.org/publicdomain/mark/1.0/deed.en | http://creativecommons.org/publicdomain/mark/1.0/deed.es","Capitolio de La Habana | Carrers | Urbanisme | Capitolio de La Habana | Streets | City planning | Capitolio de La Habana | Calles | Urbanismo","","fotografies | documents digitalitzats","Vista desde la cúpula del Capitolio","","image","info:eu-repo/semantics/other",""
"Ballell, Frederic","","Barcelona. District 1. Ciutat Vella | Barcelona. Distrito 1. Ciutat Vella | Barcelona. Districte 1. Ciutat Vella","1913","1913",1913,"Original file at: Arxiu Fotogràfic de la Ciutat de Barcelona (reference: bcn000998). | Issued date based on created date | Archivo dipositario del documento original: Arxiu Fotogràfic de la Ciutat de Barcelona (registro original: bcn000998). | Fecha de publicación basada en la fecha de creación | Arxiu dipositari del document original: Arxiu Fotogràfic de la Ciutat de Barcelona (registre original: bcn000998). | Data de publicació basada en la data de creació","Regionalist Day at the Palace of Fine Arts. Banquet with two thousand diners | Diada Regionalista al Palau de Belles Arts. Banquet amb dos mil comensals | Día Regionalista en el Palacio de Bellas Artes. Banquete con dos mil comensales","","image/jpeg","1 fotografia","","image/jpeg","","","http://hdl.handle.net/11703/111454","","zxx","","","","","","","CC-BY-NC-ND","info:eu-repo/semantics/openAccess","","Ajuntament de Barcelona | Arxiu Fotogràfic de la Ciutat de Barcelona","https://creativecommons.org/licenses/by-nc-nd/4.0/deed.es | https://creativecommons.org/licenses/by-nc-nd/4.0/deed.ca | https://creativecommons.org/licenses/by-nc-nd/4.0/deed.en","Àpats i banquets | Lliga Regionalista | Reunions públiques | Palau de Belles Arts (Barcelona) | Dinners and dining | Regionalist League of Catalonia | Public meetings | Palau de Belles Arts (Barcelona) | Comidas y banquetes | Lliga Regionalista | Reuniones políticas | Palau de Belles Arts (Barcelona)","","fotografies | documents digitalitzats","Diada Regionalista. Banquet al Palau de Belles Arts","","image","info:eu-repo/semantics/other",""
"Oficina del Historiador de la Ciudad de La Habana | Museu d'Història de la Ciutat (Barcelona)","","Barcelona | Havana (Cuba) | Barcelona | La Habana (Cuba) | Barcelona | L'Havana (Cuba)","2013 | 2014","2014",2014,"","Acord entre les dues entitats que estableix els terminis de col·laboració cultural amb la finalitat de crear el projecte museogràfic del Palacio del Segundo Cabo de La Havana, per tal d'enriquir el projecte amb materials i instal·lacions audiovisuals | Agreement between the two entities that establishes the terms of cultural collaboration in order to create the museographic project of the Palacio del Segundo Cabo in La Habana, in order to enrich the project with materials and audiovisual installations | Acuerdo entre las dos entidades que establece los plazos de colaboración cultural con el fin de crear el proyecto museográfico del Palacio del Segundo Cabo de La Habana, con el fin de enriquecer el proyecto con materiales e instalaciones audiovisuales","Digitalitzat pel Museu d'Història de la Ciutat (Barcelona)","application/pdf","14 p.","","application/pdf","","entitats públiques empresarials","http://hdl.handle.net/11703/111202","","spa","Ajuntament de Barcelona","","","","Reproducció digital del document en suport original","","CC-BY","info:eu-repo/semantics/openAccess","","Ajuntament de Barcelona | Oficina del Historiador de la Ciudad de La Habana","http://creativecommons.org/licenses/by/4.0/deed.ca | http://creativecommons.org/licenses/by/4.0/deed.en | http://creativecommons.org/licenses/by/4.0/deed.es","Cooperació internacional | Museu d'Història de la Ciutat (Barcelona) | Museologia | Exposicions | Palacio del Segundo Cabo (La Havana, Cuba) | International cooperation | Museu d'Història de la Ciutat (Barcelona) | Museum techniques | Exhibitions | Palacio del Segundo Cabo (Havana, Cuba) | Cooperación internacional | Museu d'Història de la Ciutat (Barcelona) | Museología | Exposiciones | Palacio del Segundo Cabo (La Habana, Cuba)","Sector públic | Cultura i oci","convenis de col·laboració | documents digitalitzats","Puentes Culturales","Desarrollo de la propuesta museográfica de la sala de arquitectura y urbanismo Palacio del Segundo Cabo","text","info:eu-repo/semantics/other",""
"Autor desconegut","Oficina del Historiador de la Ciudad de La Habana","Havana (Cuba) | La Habana (Cuba) | L'Havana (Cuba)","1899","1899",1899,"Original file at: Fototeca de la Oficina del Historiador de la Ciudad de La Habana (reference:1-2-3691) | Unknow author | Archivo depositario del documento  original: Fototeca Histórica Oficina del Historiador del La Habana(registro original:1-2-3691) | Autor desconocido | En la fecha de creación y de publicación se ha hecho constar la fecha inicial. Son fechas aproximadas, que van de 1899 a 1902. | Arxiu dipositari del document original: Fototeca Histórica Oficina del Historiador del La Habana(registre original:1-2-3691) | Autor desconegut | A la data de creació i de publicació s'ha fet constar la data inicial. Són dates aproximades, que van de 1899 a 1902.","El Castillo de los Tres Reyes del Morro, va ser construït a partir de 1585, com a part del sistema de fortificacions defensives de la badia de l'Havana, contra atacs de corsaris i pirates. El 1982, va ser declarat Patrimoni de la Humanitat, com una de for | The Castle of the Tres Reyes del Morro, was constructed as of 1585, like part of the system of defensive fortifications of the bay of Havana, against attacks of corsairs and pirates. In 1982, it was declared a World Heritage Site, as one of fortifications | El Castillo de los Tres Reyes del Morro, fue construido a partir de 1585, como parte del sistema de fortificaciones defensivas de la bahía de La Habana, contra ataques de corsarios y piratas. En 1982, fue declarado Patrimonio de la Humanidad, como una de","Digitalitzat per la Oficina del Historiador de la Ciudad de La Habana","image/jpeg","1 fotografia","","image/jpeg","","","http://hdl.handle.net/11703/114432","","zxx","","","","","Reproducció digital del document en suport original","","Domini públic","info:eu-repo/semantics/openAccess","","","http://creativecommons.org/publicdomain/mark/1.0/deed.ca | http://creativecommons.org/publicdomain/mark/1.0/deed.en | http://creativecommons.org/publicdomain/mark/1.0/deed.es","Molls | Edificis militars | Banderes | Wharves | Military buildings | Flags | Muelles | Edificio militar | Banderas","","fotografies | documents digitalitzats","Castillo de los Tres Reyes del Morro.Vista desde el norte. Faro.","","image","info:eu-repo/semantics/other",""
"Bobes (Tallers Gràfics)","","Barcelona. District 2. Eixample | Barcelona. Distrito 2. Eixample | Barcelona. Districte 2. Eixample","1896","1896",1896,"Arxiu dipositari del document original: Arxiu Històric de la Ciutat de Barcelona (registre original: AHCB 18182). | Data de publicació basada en la data de creació. | Original file at: Arxiu Històric de la Ciutat de Barcelona (reference: AHCB 18182). | Issued date based on created date | Archivo dipositario del documento original: Arxiu Històric de la Ciutat de Barcelona (registro original: AHCB 18182). | Fecha de publicación basada en la fecha de creación","Plànol de la ciutat de Barcelona amb l'Eixample i els pobles del pla. Xarxa de carrers, port, Montjuïc. A la part superior dreta, llista alfabètica de carrers i places. En capçalera, gravat que representa una al·legoria de Barcelona | Map of the city of Barcelona with the Eixample and the towns of the plan. Network of streets, port, Montjuïc. In the upper right, alphabetical list of streets and squares. In the header, engraving representing an allegory of Barcelona | Plano de la ciudad de Barcelona con el Eixample y los pueblos del plan. Red de calles, puerto, Montjuïc. En la parte superior derecha, lista alfabética de calles y plazas. En cabecera, grabado que representa una alegoría de Barcelona","Digitalitzat per l'Arxiu Històric de la Ciutat de Barcelona","image/jpeg","1 fotografia","","image/jpeg","","","http://hdl.handle.net/11703/111888","","zxx","","","","","","","Domini públic","info:eu-repo/semantics/openAccess","","Ajuntament de Barcelona | Arxiu Històric de la Ciutat de Barcelona","http://creativecommons.org/publicdomain/mark/1.0/deed.ca | http://creativecommons.org/publicdomain/mark/1.0/deed.en | http://creativecommons.org/publicdomain/mark/1.0/deed.es","Plànols | Plans | Planos","","fotografies | plànols | documents digitalitzats","Plano General de Barcelona Su Ensanche Y Pueblos del Llano. 1896","","image","info:eu-repo/semantics/other",""
"Autor desconegut","","Barcelona. District 1. Ciutat Vella | Barcelona. Distrito 1. Ciutat Vella | Barcelona. Districte 1. Ciutat Vella","1909","1909",1909,"Unknown author | Original file at: Arxiu Històric de la Ciutat de Barcelona (reference: AHCB 11984). | Issued date based on created date | Autor desconocido | Archivo dipositario del documento original: Arxiu Històric de la Ciutat de Barcelona (registro original: AHCB 11984). | Fecha de publicación basada en la fecha de creación | Autor desconegut | Arxiu dipositari del document original: Arxiu Històric de la Ciutat de Barcelona (registre original: AHCB 11984). | Data de publicació basada en la data de creació.","Aspecto del claustro del convento del Sagrado Corazón durante los hechos revolucionarios de 1909. El Convento del Sagrado Corazón ardiendo | Aspecte del claustre del convent del Sagrat Cor durant els fets revolucionaris de 1909. El Convent del Sagrat Cor cremant | Appearance of the cloister of the convent of the Sacred Heart during the revolutionary events of 1909. The Convent of the Sacred Heart burning","Digitalitzat per l'Arxiu Històric de la Ciutat de Barcelona","image/jpeg","1 fotografia","","image/jpeg","","","http://hdl.handle.net/11703/111878","","zxx","","","","","","","CC-BY-NC-ND","info:eu-repo/semantics/openAccess","","Ajuntament de Barcelona | Arxiu Històric de la Ciutat de Barcelona","https://creativecommons.org/licenses/by-nc-nd/4.0/deed.es | https://creativecommons.org/licenses/by-nc-nd/4.0/deed.ca | https://creativecommons.org/licenses/by-nc-nd/4.0/deed.en","Conflictes socials | Convents | Convent del Sagrat Cor de Jesús (Barcelona) | Setmana Tràgica, Barcelona, 1909 | Social conflicts | Convents | Convent del Sagrat Cor de Jesús (Barcelona) | Tragic Week, Barcelona, 1909 | Conflictos sociales | Conventos | Convent del Sagrat Cor de Jesús (Barcelona) | Semana trágica, Barcelona, 1909","","fotografies | documents digitalitzats","Convents de Caràcter Monumental. Lo Claustre del Convent del Sagrat Cor, Ab los Llits Y Mobles Cremant en la Jornada del 27 Juniol 1909 [Setmana Tràgica]. Setmana Tràgica","","image","info:eu-repo/semantics/other",""
"Ballell, Frederic","","Barcelona. District 2. Eixample | Gràcia, Boulevard (Barcelona) | Barcelona. Distrito 2. Eixample | Gràcia, Paseo (Barcelona) | Barcelona. Districte 2. Eixample | Gràcia, Passeig (Barcelona)","1908","1908",1908,"Original file at: Arxiu Fotogràfic de la Ciutat de Barcelona (reference: bcn001575). | Issued date based on created date | Archivo dipositario del documento original: Arxiu Fotogràfic de la Ciutat de Barcelona (registro original: bcn001575). | Fecha de publicación basada en la fecha de creación | Arxiu dipositari del document original: Arxiu Fotogràfic de la Ciutat de Barcelona (registre original: bcn001575). | Data de publicació basada en la data de creació","Military Parade. Alfonso XIII on horseback talking to Antonio Maura, president of the Council of Ministers of Spain and Mr.Osorio, civil governor of Barcelona, ​​on Paseo de Gracia, once the military review was finished. | Desfilada militar. Alfons XIII a cavall parlant amb Antoni Maura, president de Consell de Ministres d'Espanya i el Sr.Osorio, governador civil de Barcelona, al passeig de Gràcia, un cop acabada la revista militar. | Desfile militar. Alfonso XIII a caballo hablando con Antonio Maura, presidente de Consejo de Ministros de España y el Sr.Osorio, gobernador civil de Barcelona, ​​en el paseo de Gracia, una vez acabada la revista militar.","","image/jpeg","1 fotografia","","image/jpeg","","","http://hdl.handle.net/11703/111484","","zxx","","","","","","","CC-BY-NC-ND","info:eu-repo/semantics/openAccess","","Ajuntament de Barcelona | Arxiu Fotogràfic de la Ciutat de Barcelona","https://creativecommons.org/licenses/by-nc-nd/4.0/deed.es | https://creativecommons.org/licenses/by-nc-nd/4.0/deed.ca | https://creativecommons.org/licenses/by-nc-nd/4.0/deed.en","Monarques | Polítics | Militars | Esdeveniments especials | Kings and rulers | Politicians | Soldiers | Special events | Reyes y soberanos | Políticos | Militares | Eventos especiales | Maura, Antonio | Maura, Antonio | Maura, Antonio","","fotografies | documents digitalitzats","Desfilada militar al passeig de Gràcia","","image","info:eu-repo/semantics/other",""
"Autor desconegut","","Barcelona. District 2. Eixample | Catalunya, Square (Barcelona) | Barcelona. Distrito 2. Eixample | Catalunya, Plaza (Barcelona) | Barcelona. Districte 2. Eixample | Catalunya, Plaça (Barcelona)","1898","1898",1898,"Arxiu dipositari del document original: Arxiu Fotogràfic de la Ciutat de Barcelona. (registre original: bcn001525) | Data de publicació basada en la data de creació | Original file at: Arxiu Fotogràfic de la Ciutat de Barcelona (reference: bcn001525) | Issued date based on created date | Archivo depositario del documento original: Arxiu Fotogràfic de la Ciutat de Barcelona (registro original: bcn001525) | Fecha de publicación basada en la fecha de creación","Plaça de Catalunya. Vianants i tramvies circulant | Plaza de Cataluña. Peatones y tranvías circulando | Plaza de Catalunya. Pedestrians and trams circulating","Digitalitzat per l'Arxiu Fotogràfic de la Ciutat de Barcelona","image/jpeg","1 fotografia","Paper positivat, blanc i negre, 12,5 x 17,5 cm, gelatina DOP","image/jpeg","","","http://hdl.handle.net/11703/110283","","zxx","","","","","","","Domini públic","info:eu-repo/semantics/openAccess","","Ajuntament de Barcelona | Arxiu Fotogràfic de la Ciutat de Barcelona","http://creativecommons.org/publicdomain/mark/1.0/deed.ca | http://creativecommons.org/publicdomain/mark/1.0/deed.en | http://creativecommons.org/publicdomain/mark/1.0/deed.es","Places | Vianants | Tramvies | Plazas | Pedestrians | Street-railroads | Plazas | Peatones | Tranvías","","fotografies | documents digitalitzats","Plaça de Catalunya","","image","info:eu-repo/semantics/other",""
