"dcAccrualPeriodicity","dccontributorauthor","dccontributorother","dccoveragespatial","dccoveragetemporal","dccoveragevigencia","dcdatecreated","dcdateissued","dcdescription","dcdescriptionsponsorship","dcdescriptiontableofcontents","dcformat","dcformatextent","dcidentifierBG","dcidentifierab","dcidentifiercitation","dcidentifierentitat","dcidentifierisbn","dcidentifiermandat","dcidentifieruri","dclanguage","dcpublisher","dcrelation","dcrelationhasformat","dcrelationhaspart","dcrelationhasversion","dcrelationisbasedon","dcrelationisbasisfor","dcrelationisformatof","dcrelationisreferencedby","dcrelationisrequiredby","dcrelationisversionof","dcrelationreferences","dcrelationrequires","dcrights","dcrightsaccessrights","dcrightslicense","dcrightsrightsHolder","dcrightsuri","dcsubject","dcsubjectcategory","dcsubjectforma","dcsubjectprogramme","dctitle","dctitlealternative","dctype","Unnamed: 46"
"","Sector de Serveis Personals. Regidoria de Drets Civils","","Barcelona","","","1997-11-21","1997","Presentada al Plenari del Consell Municipal de 21-11-1997","","","application/pdf","1 p.","11316","","","","","Mandat 1995-1999","http://hdl.handle.net/11703/84464","cat","Ajuntament de Barcelona","","","","","","","","","","","","","CC-BY","openAccess","","Ajuntament de Barcelona","http://creativecommons.org/licenses/by/4.0/deed.ca","Sida","Salut","mesures de govern","","Adhesió a la commemoració del dia 1 de desembre, com a Dia Mundial de la Sida : mesura de govern","","text",""
"","Sector de Serveis Generals","","Barcelona","2001. 2002. 2003","","2001-06-29","2001","Presentada al Plenari del Consell Municipal de 29-06-2001. Citada a la Gaseta Municipal núm. 26 (20-09-2001). EQUAL ha estat una iniciativa comunitària adreçada a promoure, en un context de cooperació transnacional, nous mètodes de lluita contra les discriminacions i desigualtats de tota classe en relació amb el mercat de treball. Aquesta Iniciativa es va emmarcar dins de l'Estratègia Europea per l'Ocupació (EEE), posada en marxa en el Consell Europeu de Luxemburg de novembre de 1997.","","","application/pdf","10 p.","13488","","","","","Mandat 1999-2003","http://hdl.handle.net/11703/84496","cat","Ajuntament de Barcelona","","","","","","","","","","","","","CC-BY","openAccess","","Ajuntament de Barcelona","http://creativecommons.org/licenses/by/4.0/deed.ca","Programes d'acció positiva. Ocupació","Ocupació","mesures de govern","Equal (Projecte)","Sol·licitud a la Iniciativa Comunitària Equal : mesura de govern","","text",""
"","Àrea de Drets Socials. Comissió de Drets Socials, Cultura i Esports (Consell Municipal de Barcelona). Regidoria d'Infància, Joventut i Gent Gran","","Barcelona","2017. 2018. 2019. 2020. 2021","","2017-10-17","2017-10","Presentada a la Comissió de Drets Socials, Cultura i Esports el 17-10-2017","","","application/pdf","108 p.","","","","","","Mandat 2015-","http://hdl.handle.net/11703/106285","cat","","","","","","","","","","","","","","CC-BY","openAccess","","Ajuntament de Barcelona","http://creativecommons.org/licenses/by/4.0/deed.ca","Política social. Persones grans","Societat i benestar","mesures de govern. plans estratègics","Promoció de les Persones Grans a la Ciutat de Barcelona 2017-2021","Mesura de govern per a la promoció de les persones grans a la ciutat de Barcelona 2017-2021","","text",""
"","Àrea d'Hàbitat Urbà","","Barcelona","2012. 2013. 2014. 2015","","2012-12-21","2012-12","Presentada al Plenari del Consell Municipal de 21-12-2012. Citada a la Gaseta Municipal núm. 6 (10-02-2013)","","","application/pdf","9 p.","10787","","","","","Mandat 2011-2015","http://hdl.handle.net/11703/84707","cat","Ajuntament de Barcelona","","","","","","","","","","","","","CC-BY","openAccess","","Ajuntament de Barcelona","http://creativecommons.org/licenses/by/4.0/deed.ca",". Enllumenat públic. Espais públics","Energia","mesures de govern. plans estratègics","Pla Director d'Il·luminació de Barcelona 2012-2015","Pla d'il·luminació de Barcelona : mesura de govern","","text",""
"","Àrea d'Economia, Empresa i Ocupació. Districte 6. Gràcia","","Gràcia (Barcelona : Barri). Barcelona. Districte 6. Gràcia","2013. 2014","","2013-12-03","2013","Presentada al Consell Plenari del Districte de Gràcia de 03-12-2013","","","application/pdf","10 p.","18315","","","districtes","","Mandat 2011-2015","http://hdl.handle.net/11703/84826","cat","Ajuntament de Barcelona","","","","","","","","","","","","","CC-BY","openAccess","","Ajuntament de Barcelona","http://creativecommons.org/licenses/by/4.0/deed.ca","Nadal. Consum (Economia)","Comerç","mesures de govern","","Mesura de govern d'impuls al comerç de proximitat a Gràcia : Gràcia comerç Nadal 2013","","text",""
"","Comissió d'Ecologia, Urbanisme i Mobilitat (Consell Municipal de Barcelona). Àrea d'Ecologia, Urbanisme i Mobilitat","","Barcelona","2015. 2016. 2017. 2018. 2019. 2020. 2021. 2022. 2023. 2024. 2025. 2026. 2027. 2028. 2029. 2030","","2017-05-17","2017","Presentada a la Comissió d'Ecologia, Urbanisme i Mobilitat de 17-05-2017. És base per la nota de premsa L'Ajuntament de Barcelona incrementarà 44 hectàrees de verd entre 2015 i 2019 , i en 165 hectàrees a l'horitzó 2030 [http://hdl.handle.net/11703/102601]. Podeu consultar la versió en castellà a: http://hdl.handle.net/11703/104927. Podeu consultar la versió en angles a: http://hdl.handle.net/11703/104928","","","application/pdf","72 p.","","","","","","Mandat 2015-","http://hdl.handle.net/11703/102316","cat","","http://hdl.handle.net/11703/104927. http://hdl.handle.net/11703/104928","","","http://hdl.handle.net/11703/102322","","http://hdl.handle.net/11703/102601","","","","","","","CC-BY","openAccess","","Ajuntament de Barcelona","http://creativecommons.org/licenses/by/4.0/deed.ca","Zones verdes. Parcs. Jardins. Desenvolupament urbà sostenible","Medi ambient","mesures de govern. plans estratègics","Programa d'Impuls de la Infraestructura Verda Urbana 2015-2030 (Barcelona)","Programa d'impuls de la infraestructura verda urbana : mesura de govern","","text",""
"","Sector d'Urbanisme i Infraestructures","","Barcelona. Districte 7. Horta-Guinardó","","","2006-01-27","2006","Presentada al Plenari del Consell Municipal de 27-01-2006. Citada a la Gaseta Municipal núm.10 (30-03-2006)","","","application/pdf","40 p.","13483","","","","","Mandat 2003-2007","http://hdl.handle.net/11703/84563","cat","Ajuntament de Barcelona","","","","","","","","","","","","","CC-BY","openAccess","","Ajuntament de Barcelona","http://creativecommons.org/licenses/by/4.0/deed.ca","Urbanisme","Urbanisme i infraestructures","mesures de govern","","Projectes d'actuació al barri del Carmel : mesura de govern","","text",""
"","Àrea de Benestar i Cohesió Territorial","","Barcelona","","","2007-07-10","2007","Presentada a la Comissió de Cultura, Educació i Benestar Social del Consell Municipal de 10-07-2007. Citada a la Gaseta Municipal núm. 26 (10-10-2007)","","","application/pdf","3 p.","11052","","","","","Mandat 2007-2011","http://hdl.handle.net/11703/84595","cat","Ajuntament de Barcelona","","","","","","","","","","","","","CC-BY","openAccess","","Ajuntament de Barcelona","http://creativecommons.org/licenses/by/4.0/deed.ca","Educació. Integració social","Educació","mesures de govern","","El compromís municipal per una educació al servei de la cohesió social : mesura de govern","","text",""
"","Àrea d'Acció Social i Ciutadania","","Barcelona","","","2011-02-15","2011","Presentada a la Comissió d'Acció Social i Ciutadania del Consell Municipal de 15-02-2011","","","application/pdf","26 p.","11095","","","","","Mandat 2007-2011","http://hdl.handle.net/11703/84577","cat","Ajuntament de Barcelona","","","","","","","","","","","","","CC-BY","openAccess","","Ajuntament de Barcelona","http://creativecommons.org/licenses/by/4.0/deed.ca","Trastorns de la memòria en la vellesa. Trastorns de la memòria en la vellesa","Societat i benestar","mesures de govern","","Recomanacions per a la realització de tallers d'entrenament de la memòria per a les persones grans : mesura de govern","","text",""
"","Àrea d'Acció Social i Ciutadania","","Barcelona","","","2010-02-05","2010","Presentada al Plenari del Consell Municipal de 05-02-2010. Citada a la Gaseta Municipal núm. 10 (20-03-2010)","","","application/pdf","12 p.","13623","","","","","Mandat 2007-2011","http://hdl.handle.net/11703/84636","cat","Ajuntament de Barcelona","","","","","","","","","","","","","CC-BY","openAccess","","Ajuntament de Barcelona","http://creativecommons.org/licenses/by/4.0/deed.ca","Venedors de periòdics. Premsa","Urbanisme i infraestructures","mesures de govern","","Nou quiosc de premsa a la ciutat de Barcelona : la nova regulació de les activitats dels quioscos de premsa : mesura de govern","","text",""
"","Regidoria d'Adolescència i Joventut. Àrea de Qualitat de Vida, Igualtat i Esports","","Barcelona","2012. 2013. 2014. 2015","","2011-11-15","2011","Presentada a la Comissió de Qualitat de Vida, Igualtat, Joventut i Esports de 15-11-2011. Citada a la Gaseta Municipal núm. 34 (30-11-2011)","","","application/pdf","8 p.","10270","","","","","Mandat 2011-2015","http://hdl.handle.net/11703/84746","cat","Ajuntament de Barcelona","","","","","","","","","","","","","CC-BY","openAccess","","Ajuntament de Barcelona","http://creativecommons.org/licenses/by/4.0/deed.ca","Adolescents. Joventut","Societat i benestar","mesures de govern","Pla Municipal d'Adolescència i Joventut 2012-2015 (Barcelona). Pla d'Adolescència i Joventut 2013-2016 (Barcelona)","Procés d'elaboració del Pla Municipal d'Adolescència i Joventut 2012-2015 : mesura de govern","","text",""
"","Àrea d'Ecologia, Urbanisme i Mobilitat. Districte 8. Nou Barris","","Barcelona. Districte 8. Nou Barris","","","2015-12-02","2015-11-16","Presentada al Consell Plenari del Districte de Nou Barris de 02-12-2015","","","application/pdf","5 p.","","","","districtes","","Mandat 2015-","http://hdl.handle.net/11703/86403","cat","","","","","","","","","","","","","","CC-BY","openAccess","","Ajuntament de Barcelona","http://creativecommons.org/licenses/by/4.0/deed.ca","Història. Districte 8. Nou Barris","Cultura i oci","mesures de govern","","Programa per a la dignificació i la recuperació de la memòria històrica de Nou Barris : mesura de govern","","text",""
"","Àrea de Prevenció, Seguretat i Mobilitat","","Barcelona","","","2008-06-19","2008","Presentada a la Comissió de Seguretat i Mobilitat de 19-06-2008. Citada a la Gaseta Municipal núm. 24 (10-09-2008)","","","application/pdf","","11071","","","","","Mandat 2007-2011","http://hdl.handle.net/11703/84659","cat","Ajuntament de Barcelona","","","","","","","","","","","","","CC-BY","openAccess","","Ajuntament de Barcelona","http://creativecommons.org/licenses/by/4.0/deed.ca","Bombers","Seguretat","mesures de govern","","Commemoració del 175è aniversari de Bombers de Barcelona : mesura de govern","","text",""
"","Àrea de Cultura, Coneixement, Creativitat i Innovació","","Barcelona","","","2014-12-09","2014","Presentada a la Comissió de Cultura, Coneixement, Creativitat i Innovació de 09-12-2014","","","application/pdf","11 p.","17343","","","","","Mandat 2011-2015","http://hdl.handle.net/11703/42954","cat","","","","","","","","","","","","","","CC-BY","openAccess","","Ajuntament de Barcelona","http://creativecommons.org/licenses/by/4.0/deed.ca","Digitalització. Patrimoni bibliogràfic i documental. Materials d'arxiu","Cultura i oci","mesures de govern","","Digitalització de fons documentals als museus i arxius patrimonials de Barcelona : mesura de govern","","text",""
"","Àrea d'Hàbitat Urbà. Districte 1. Ciutat Vella","","Barcelona. Districte 1. Ciutat Vella","","","2014-05-15","2014","Presentada al Consell Plenari del Districte de Ciutat Vella de 15-05-2014","","","application/pdf","10 p.","18103","","","districtes","","Mandat 2011-2015","http://hdl.handle.net/11703/84795","cat","Ajuntament de Barcelona","","","","","","","","","","","","","CC-BY","openAccess","","Ajuntament de Barcelona","http://creativecommons.org/licenses/by/4.0/deed.ca","Arquitectura del paisatge urbà. Jardineria urbana","Urbanisme i infraestructures","mesures de govern","","Pla Flors Ciutat Vella : mesura de govern","","text",""
"","Àrea de Cultura, Coneixement, Creativitat i Innovació. Districte 5. Sarrià-Sant Gervasi","","Barcelona. Districte 5. Sarrià-Sant Gervasi","","","2012-05-03","2012","Presentada al Consell Plenari del Districte de Sarrià-Sant Gervasi de 03-05-2012","","","application/pdf","1 p.","18132","","","districtes","","Mandat 2011-2015","http://hdl.handle.net/11703/84814","cat","Ajuntament de Barcelona","","","","","","","","","","","","","CC-BY","openAccess","","Ajuntament de Barcelona","http://creativecommons.org/licenses/by/4.0/deed.ca","Aniversaris","Cultura i oci","mesures de govern","","Constitució de la Comissió tècnica de treball per als actes de celebració del centenari del Turó Parc : mesura de govern","","text",""
