"dccontributorauthor","dccoveragespatial","dccoveragetemporal","dcdatecreated","dcdateissued","dcdescription","dcformat","dcformatextent","dcidentifierBG","dcidentifierab","dcidentifierentitat","dcidentifiermandat","dcidentifieruri","dclanguage","dcpublisher","dcrelation","dcrelationisbasedon","dcrights","dcrightsaccessrights","dcrightsrightsHolder","dcrightsuri","dcsubject","dcsubjectcategory","dcsubjectforma","dcsubjectprogramme","dctitle","dctitlealternative","dctype","Unnamed: 28"
"Consell Econòmic i Social de Barcelona","Barcelona","2007","2006","2006","","application/pdf","20 p.",17621.0,"","consells","","http://hdl.handle.net/11703/87129","cat","Consell Econòmic i Social de Barcelona","","","Domini públic","openAccess","","http://creativecommons.org/publicdomain/mark/1.0/deed.ca","Pressupostos municipals","Sector públic. Economia","dictàmens. pressupostos","","Dictamen sobre els pressupostos generals 2007","","text",""
"Consell Tributari Municipal (Barcelona)","Barcelona","","2009-04-15","2009","","application/pdf","7 p.",16799.0,"Núm. Exp. 21/9","consells","","http://hdl.handle.net/11703/87196","cat","Consell Tributari Municipal (Barcelona)","","","Domini públic","openAccess","","http://creativecommons.org/publicdomain/mark/1.0/deed.ca","Impostos immobiliaris","Hisenda","dictàmens","","Aportació de béns d'una branca d'activitat (21/9)","","text",""
"Consell Tributari Municipal (Barcelona)","Barcelona","","2008-10-13","2008","","application/pdf","3 p.",16996.0,"Núm. Exp. 176/8","consells","","http://hdl.handle.net/11703/87188","cat","Consell Tributari Municipal (Barcelona)","","","Domini públic","openAccess","","http://creativecommons.org/publicdomain/mark/1.0/deed.ca","Notificació (Dret)","Hisenda","dictàmens","","Diligència deguda per l'Administració per realitzar la notificació personal adreçant-se al domicili que consta inscrit en el Registre Mercantil (176/8)","","text",""
"Consell Econòmic i Social de Barcelona","Barcelona","2003","2002","2002","","application/pdf","9 p.",11493.0,"","consells","","http://hdl.handle.net/11703/87147","cat","Consell Econòmic i Social de Barcelona","","","Domini públic","openAccess","","http://creativecommons.org/publicdomain/mark/1.0/deed.ca","Política fiscal","Sector públic. Hisenda","dictàmens. ordenances fiscals. preus públics","","Dictamen sobre les Ordenances fiscals i de preu públic 2003","","text",""
"Consell Econòmic i Social de Barcelona","Barcelona","2010","2010","2010","","application/pdf","30 p.",11498.0,"","consells","","http://hdl.handle.net/11703/87379","cat","Consell Econòmic i Social de Barcelona","","","Domini públic","openAccess","","http://creativecommons.org/publicdomain/mark/1.0/deed.ca","Pressupostos municipals","Economia","dictàmens","","Dictamen sobre els pressupostos generals de l'Ajuntament de Barcelona : 2010","","text",""
"Consell Tributari Municipal (Barcelona)","Barcelona","","2000-09-27","2000","","application/pdf","6 p.",16530.0,"Núm. Exp. 403/00","consells","","http://hdl.handle.net/11703/87262","cat","Consell Tributari Municipal (Barcelona)","","","Domini públic","openAccess","","http://creativecommons.org/publicdomain/mark/1.0/deed.ca","Impostos sobre activitats econòmiques. Estimació de la base imposable","Hisenda","dictàmens","","Qualificació de l'activitat. Agents i subagents d'assegurances (403/00)","","text",""
"Consell Tributari Municipal (Barcelona)","Barcelona","","2002-06-15","2002","","application/pdf","6 p.",16536.0,"Núm. Exp. 776/1","consells","","http://hdl.handle.net/11703/87331","cat","Consell Tributari Municipal (Barcelona)","","","Domini públic","openAccess","","http://creativecommons.org/publicdomain/mark/1.0/deed.ca","Impostos sobre activitats econòmiques. Procediment administratiu","Hisenda","dictàmens","","Liquidacions. Criteris per a la modificació de les liquidacions provisionals d'ofici (776/1)","","text",""
"Consell Tributari Municipal (Barcelona)","Barcelona","","2002-01-28","2002","","application/pdf","5 p.",16495.0,"Núm. Exp. 235/1","consells","","http://hdl.handle.net/11703/87207","cat","Consell Tributari Municipal (Barcelona)","","","Domini públic","openAccess","","http://creativecommons.org/publicdomain/mark/1.0/deed.ca","Impostos sobre activitats econòmiques. Exempció d'impostos","Hisenda","dictàmens","","Llei 30/1994. Formació de treballadors i aturats (235/1)","","text",""
"Sindicatura de Greuges de Barcelona","","","2017-03-03","2017-03-09","","application/pdf","8 p.","","Exp.: 16Q001229-MO","","","http://hdl.handle.net/11703/101040","cat","","","","Domini públic","openAccess","","http://creativecommons.org/publicdomain/mark/1.0/deed.ca","Participació ciutadana. Pressupostos municipals. Reclamacions","Hisenda","dictàmens","","Decisió de la Síndica de Greuges referent a la queixa presentada pels grups de CIU, PP i C'S en matèria de participació ciutadana","","text",""
"Consell Tributari Municipal (Barcelona)","Barcelona","","2005-04-27","2005","","application/pdf","5 p.",16902.0,"Núm. Exp. 229/4","consells","","http://hdl.handle.net/11703/87203","cat","Consell Tributari Municipal (Barcelona)","","","Domini públic. Domini públic","openAccess. openAccess","","http://creativecommons.org/publicdomain/mark/1.0/deed.ca","Impostos sobre activitats econòmiques","Hisenda","dictàmens","","Liquidacions. Suspensió de la liquidació en base a garanties aportades (229/4)","","text",""
"Consell Tributari Municipal (Barcelona)","Barcelona","","2001-03-07","2001","","application/pdf","7 p.",16507.0,"Núm. Exp. 383/00","consells","","http://hdl.handle.net/11703/87254","cat","Consell Tributari Municipal (Barcelona)","","","Domini públic","openAccess","","http://creativecommons.org/publicdomain/mark/1.0/deed.ca","Impostos sobre activitats econòmiques. Exempció d'impostos","Hisenda","dictàmens","","Llei 30/1994. Estudis de ciències socials (383/00)","","text",""
"Consell Tributari Municipal (Barcelona)","Barcelona","","1992-10-28","1992","","application/pdf","7 p.",16609.0,"Núm. Exp. 89/2","consells","","http://hdl.handle.net/11703/87346","cat","Consell Tributari Municipal (Barcelona)","","","Domini públic","openAccess","","http://creativecommons.org/publicdomain/mark/1.0/deed.ca","Impostos immobiliaris. Impostos de plusvàlua. Notificació (Dret). Procediment administratiu","Hisenda","dictàmens","","Liquidació provisional d'ofici sobre l'increment de valor d'uns terrenys (89/2)","","text",""
"Consell Tributari Municipal (Barcelona)","Barcelona","","2006-04-19","2006","","application/pdf","4 p.",16825.0,"Núm. Exp. 431/4","consells","","http://hdl.handle.net/11703/87271","cat","Consell Tributari Municipal (Barcelona)","","","Domini públic","openAccess","","http://creativecommons.org/publicdomain/mark/1.0/deed.ca","Vehicles. Impostos locals. Estimació de la base imposable","Hisenda","dictàmens","","Expedient: 431/4","","text",""
"Consell Tributari Municipal (Barcelona)","Barcelona","","2000-12-04","2000","","application/pdf","4 p.",16990.0,"Núm. Exp. 228/00","consells","","http://hdl.handle.net/11703/87202","cat","Consell Tributari Municipal (Barcelona)","","","Domini públic","openAccess","","http://creativecommons.org/publicdomain/mark/1.0/deed.ca","Impostos sobre activitats econòmiques. Reclamacions","Hisenda","dictàmens","","Notificació mitjançant personació (228/00)","","text",""
"Sindicatura de Greuges de Barcelona","Barcelona","","2012-12-28","2012","","application/pdf","30 p.",17234.0,"","","","http://hdl.handle.net/11703/87151","cat","Sindicatura de Greuges de Barcelona","","","Domini públic","openAccess","","http://creativecommons.org/publicdomain/mark/1.0/deed.ca","Sancions econòmiques","Sector públic. Hisenda","dictàmens","","El sistema de notificacions en els procediments sancionadors en matèria de trànsit i de cobrament per via executiva seguits per l'Institut Municipal d'Hisenda","","text",""
"Consell Tributari Municipal (Barcelona)","Barcelona","","2014-07-30","2014","","application/pdf","4 p.",16601.0,"Núm. Exp. 237/13","consells","","http://hdl.handle.net/11703/87209","cat","Consell Tributari Municipal (Barcelona)","","","Domini públic","openAccess","","http://creativecommons.org/publicdomain/mark/1.0/deed.ca","Impostos immobiliaris. Exempció d'impostos","Hisenda","dictàmens","","Béns municipals afectes a l'ús o servei públic. Concessió d'aparcament a BSM com a gestió directa de l'Ajuntament (237/13)","","text",""
"Consell Tributari Municipal (Barcelona)","Barcelona","","2007-01-10","2007","","application/pdf","4 p.",16886.0,"Núm. Exp. 371/5","consells","","http://hdl.handle.net/11703/87248","cat","Consell Tributari Municipal (Barcelona)","","","Domini públic","openAccess","","http://creativecommons.org/publicdomain/mark/1.0/deed.ca","Impostos locals. Sancions econòmiques","Hisenda","dictàmens","","Terceria de domini (371/5)","","text",""
"Consell Tributari Municipal (Barcelona)","Barcelona","","2008-04-02","2008","","application/pdf","4 p.",16754.0,"Núm. Exp. 141/7","consells","","http://hdl.handle.net/11703/87170","cat","Consell Tributari Municipal (Barcelona)","","","Domini públic","openAccess","","http://creativecommons.org/publicdomain/mark/1.0/deed.ca","Impostos de plusvàlua","Hisenda","dictàmens","","Valor cadastral. Fixació posterior al meritament amb efectes retroactius (141/7)","","text",""
"Consell Tributari Municipal (Barcelona)","Barcelona","","2011-06-20","2011","","application/pdf","10 p.",16626.0,"Núm. Exp. 202/10","consells","","http://hdl.handle.net/11703/87195","cat","Consell Tributari Municipal (Barcelona)","","","Domini públic","openAccess","","http://creativecommons.org/publicdomain/mark/1.0/deed.ca","Impostos locals. Estimació de la base imposable","Hisenda","dictàmens","","Conceptes no inclosos. Benefici industrial (202/10)","","text",""
"Consell Tributari Municipal (Barcelona)","Barcelona","","2003-06-30","2003","","application/pdf","4 p.",16523.0,"Núm. Exp. 155/2","consells","","http://hdl.handle.net/11703/87180","cat","Consell Tributari Municipal (Barcelona)","","","Domini públic","openAccess","","http://creativecommons.org/publicdomain/mark/1.0/deed.ca","Impostos sobre activitats econòmiques","Hisenda","dictàmens","","Pèrdua per regularització tributaria (155/2)","","text",""
"Consell de Ciutat de Barcelona","Barcelona","","2011","2011","","application/pdf","11 p.",9439.0,"","consells","","http://hdl.handle.net/11703/87374","cat","Consell de Ciutat de Barcelona","","","CC-BY","openAccess","","http://creativecommons.org/licenses/by/4.0/deed.ca","Ciutadania. Drets polítics","Sector públic","dictàmens","","Dictamen de la Carta de Ciutadania","","text",""
"Consell de Ciutat de Barcelona","Barcelona","2012. 2013. 2014. 2015","2012-05-08","2012-05-08","","application/pdf","38 p.",9931.0,"","consells","","http://hdl.handle.net/11703/87369","cat","","","","Domini públic","openAccess","","http://creativecommons.org/publicdomain/mark/1.0/deed.ca","Planificació estratègica","Sector públic","dictàmens","Programa d'Actuació Municipal (PAM) 2012-2015 (Barcelona)","Dictamen sobre el PAM 2012-2015","","text",""
"Consell Tributari Municipal (Barcelona)","Barcelona","","2002-01-23","2002","","application/pdf","3 p.",16595.0,"Núm. Exp. 165/1","consells","","http://hdl.handle.net/11703/87186","cat","Consell Tributari Municipal (Barcelona)","","","Domini públic","openAccess","","http://creativecommons.org/publicdomain/mark/1.0/deed.ca","Impostos immobiliaris. Exempció d'impostos","Hisenda","dictàmens","","Béns de l'ONCE (165/1)","","text",""
"Consell Tributari Municipal (Barcelona)","","","2016-09-05","2017-01","","application/pdf","19 p.","","65/15","consells","","http://hdl.handle.net/11703/99624","cat","Consell Tributari Municipal (Barcelona)","","","Domini públic","openAccess","","http://creativecommons.org/publicdomain/mark/1.0/deed.ca","Impostos immobiliaris","Hisenda","dictàmens","","IBI: Derivació de responsabilitat en virtut d'hipoteca legal tàcita, preval sobre la concursal (65/15)","","text",""
"Consell Tributari Municipal (Barcelona)","Barcelona","","2007-07-09","2007","","application/pdf","10 p.",16700.0,"Núm. Exp. 664/5","consells","","http://hdl.handle.net/11703/87308","cat","Consell Tributari Municipal (Barcelona)","","","Domini públic","openAccess","","http://creativecommons.org/publicdomain/mark/1.0/deed.ca","Impostos locals. Reclamacions","Hisenda","dictàmens","","Cessió de la rematada en subhasta judicial (664/5)","","text",""
"Consell Tributari Municipal (Barcelona)","Barcelona","","2001-06-20","2001","","application/pdf","3 p.",16790.0,"Núm. Exp. 46/1","consells","","http://hdl.handle.net/11703/87275","cat","Consell Tributari Municipal (Barcelona)","","","Domini públic","openAccess","","http://creativecommons.org/publicdomain/mark/1.0/deed.ca","Impostos de plusvàlua. Procediment administratiu","Hisenda","dictàmens","","Autoliquidació. Transmissió per subhasta en procediment hipotecari (46/1)","","text",""
"Consell Tributari Municipal (Barcelona)","Barcelona","","2015-09-21","2015-10","","application/pdf","4 p.. 4 p.","","Núm. Exp. 325/15. Núm. Exp. 325/15","consells","","http://hdl.handle.net/11703/84003","cat. cat","","","","Domini públic. Domini públic","openAccess. openAccess","","http://creativecommons.org/publicdomain/mark/1.0/deed.ca. http://creativecommons.org/publicdomain/mark/1.0/deed.ca","Impostos locals. Delictes fiscals. Sancions econòmiques","Hisenda. Hisenda","dictàmens. dictàmens","","Procediment sancionador: culpabilitat i motivació. Procediment sancionador: culpabilitat i motivació","","text. text",""
"Consell Tributari Municipal (Barcelona)","Barcelona","","2014-07-16","2014","","application/pdf","3 p.",17041.0,"Núm. Exp. 435/13","consells","","http://hdl.handle.net/11703/87272","cat","Consell Tributari Municipal (Barcelona)","","","Domini públic","openAccess","","http://creativecommons.org/publicdomain/mark/1.0/deed.ca","Impostos locals","Hisenda","dictàmens","","Si la providència de constrenyimen és nul·la, la diligència d'embargament no interromp la prescripció (435/13)","","text",""
"Consell Tributari Municipal (Barcelona)","Barcelona","","2012-01-25","2012","","application/pdf","5 p.",16676.0,"Núm. Exp. 191/11","consells","","http://hdl.handle.net/11703/87191","cat","Consell Tributari Municipal (Barcelona)","","","Domini públic","openAccess","","http://creativecommons.org/publicdomain/mark/1.0/deed.ca","Impostos locals. Exempció d'impostos","Hisenda","dictàmens","","Església Catòlica. Exempta si consta l'exempció de l'IBI (191/11)","","text",""
"Consell Econòmic i Social de Barcelona","Barcelona","2016. 2017. 2018. 2019","2016-06-23","2016-06-23","","application/pdf","15 p.","","","consells","","http://hdl.handle.net/11703/98468","cat","","","","CC-BY","openAccess","Consell Econòmic i Social de Barcelona","http://creativecommons.org/licenses/by/4.0/deed.ca","Planificació estratègica. Política econòmica. Política social. Política ambiental. Política pública. Cooperació internacional","Comerç. Economia. Medi ambient. Societat i benestar. Turisme. Urbanisme i infraestructures. Sector públic","dictàmens","Programa d'Actuació Municipal (PAM) 2016-2019 (Barcelona)","Dictamen sobre el Pla d'Actuació Municipal 2016-2019","","text",""
"Consell Econòmic i Social de Barcelona","Barcelona","2004","2003","2003","","application/pdf","15 p.",11492.0,"","consells","","http://hdl.handle.net/11703/87137","cat","Consell Econòmic i Social de Barcelona","","","Domini públic","openAccess","","http://creativecommons.org/publicdomain/mark/1.0/deed.ca","Política fiscal","Sector públic. Hisenda","dictàmens. ordenances fiscals","","Dictamen sobre les Ordenances fiscals 2004","","text",""
"Consell Tributari Municipal (Barcelona)","Barcelona","","2002-01-09","2002","","application/pdf","6 p.",16581.0,"Núm. Exp. 369/00","consells","","http://hdl.handle.net/11703/87245","cat","Consell Tributari Municipal (Barcelona)","","","Domini públic","openAccess","","http://creativecommons.org/publicdomain/mark/1.0/deed.ca","Impostos immobiliaris. Estimació de la base imposable","Hisenda","dictàmens","","Aplicació retroactiva del valor cadastral per falta de declaració de la nova construcció (369/00)","","text",""
"Sindicatura de Greuges de Barcelona","","","2016-12-30","2017-01-30","","application/pdf","18 p.","","Exp.: 14O000034-AB-ES","","","http://hdl.handle.net/11703/99984","cat","","","","Domini públic","openAccess","","http://creativecommons.org/publicdomain/mark/1.0/deed.ca","Desplaçaments en bicicleta. Mobilitat urbana","Transport","dictàmens","","Actuació d'ofici de la síndica de greuges sobre l'ús de la bicicleta a la ciutat de Barcelona","","text",""
"Consell Tributari Municipal (Barcelona)","Barcelona","","2014-01-08","2014","","application/pdf","6 p.",16501.0,"Núm. Exp. 385/13","consells","","http://hdl.handle.net/11703/87256","cat","Consell Tributari Municipal (Barcelona)","","","Domini públic","openAccess","","http://creativecommons.org/publicdomain/mark/1.0/deed.ca","Impostos sobre activitats econòmiques. Exempció d'impostos","Hisenda","dictàmens","","Societats sense xifra de negoci (385/13)","","text",""
"Consell Tributari Municipal (Barcelona)","Barcelona","","2003-07-28","2003","","application/pdf","8 p.",16814.0,"Núm. Exp. 147/2","consells","","http://hdl.handle.net/11703/87176","cat","Consell Tributari Municipal (Barcelona)","","","Domini públic","openAccess","","http://creativecommons.org/publicdomain/mark/1.0/deed.ca","Impostos de plusvàlua","Hisenda","dictàmens","","Tercer posseïdor d'un immoble hipotecat (147/2)","","text",""
"Consell Tributari Municipal (Barcelona)","Barcelona","","2001-03-07","2001","","application/pdf","4 p.",16995.0,"Núm. Exp. 249/00","consells","","http://hdl.handle.net/11703/87212","cat","Consell Tributari Municipal (Barcelona)","","","Domini públic","openAccess","","http://creativecommons.org/publicdomain/mark/1.0/deed.ca","Impostos sobre activitats econòmiques","Hisenda","dictàmens","","Expedient: 249/00","","text",""
"Consell Tributari Municipal (Barcelona)","Barcelona","","2011-06-01","2011","","application/pdf","5 p.",16627.0,"Núm. Exp. 102/8","consells","","http://hdl.handle.net/11703/87158","cat","Consell Tributari Municipal (Barcelona)","","","Domini públic","openAccess","","http://creativecommons.org/publicdomain/mark/1.0/deed.ca","Impostos locals. Estimació de la base imposable","Hisenda","dictàmens","","Conceptes no inclosos. Despeses generals (102/8)","","text",""
"Consell Tributari Municipal (Barcelona)","Barcelona","","2013-06-12","2013","","application/pdf","4 p.",16715.0,"Núm. Exp. 62/13","consells","","http://hdl.handle.net/11703/87302","cat","Consell Tributari Municipal (Barcelona)","","","Domini públic","openAccess","","http://creativecommons.org/publicdomain/mark/1.0/deed.ca","Impostos de plusvàlua","Hisenda","dictàmens","","Llegítima catalana (62/13)","","text",""
"Sindicatura de Greuges de Barcelona","Barcelona","","2014-11-04","2014","","application/pdf","8 p.",17057.0,"","","","http://hdl.handle.net/11703/87115","cat","Sindicatura de Greuges de Barcelona","","","Domini públic","openAccess","","http://creativecommons.org/publicdomain/mark/1.0/deed.ca","Habitatge","Habitatge","dictàmens","","Decisió de la Síndica de Greuges sobre el nou Reglament d'habitatges d'emergència social","","text",""
"Consell Tributari Municipal (Barcelona)","Barcelona","","2007-09-19","2007","","application/pdf","3 p.",16747.0,"Núm. Exp. 547/6","consells","","http://hdl.handle.net/11703/87286","cat","Consell Tributari Municipal (Barcelona)","","","Domini públic","openAccess","","http://creativecommons.org/publicdomain/mark/1.0/deed.ca","Impostos de plusvàlua. Estimació de la base imposable. Inspecció fiscal. Sancions econòmiques","Hisenda","dictàmens","","Còmput de data a data del període impositiu mínim d'un any (547/6)","","text",""
"Consell Econòmic i Social de Barcelona","Barcelona","2006","2005","2005","","application/pdf","19 p.",17622.0,"","consells","","http://hdl.handle.net/11703/87128","cat","Consell Econòmic i Social de Barcelona","","","Domini públic","openAccess","","http://creativecommons.org/publicdomain/mark/1.0/deed.ca","Pressupostos municipals","Sector públic. Economia","dictàmens. pressupostos","","Dictamen sobre els pressupostos generals 2006","","text",""
"Consell Tributari Municipal (Barcelona)","Barcelona","","2004-09-27","2004","","application/pdf","4 p.",16776.0,"Núm. Exp. 863/3. Impost sobre l'increment de valor dels terrenys de naturalesa urbana - Exempcions","consells","","http://hdl.handle.net/11703/87343","cat","Consell Tributari Municipal (Barcelona)","","","Domini públic","openAccess","","http://creativecommons.org/publicdomain/mark/1.0/deed.ca","Impostos de plusvàlua. Exempció d'impostos","Hisenda","dictàmens","","Devolució d'ingressos indeguts. Ingressos efectuats mitjançant autoliquidació (863/3)","","text",""
"Consell Econòmic i Social de Barcelona","Barcelona","2001","2000","2000","","application/pdf","11 p.",17646.0,"","consells","","http://hdl.handle.net/11703/87133","cat","Consell Econòmic i Social de Barcelona","","","CC-BY","openAccess","","http://creativecommons.org/licenses/by/4.0/deed.ca","Formació ocupacional","Economia","dictàmens","","Dictamen sobre els programes de formació 2001","","text",""
"Consell Tributari Municipal (Barcelona)","Barcelona","","1999-09-27","1999","","application/pdf","4 p.",16914.0,"Núm. Exp. 246/99","consells","","http://hdl.handle.net/11703/87211","cat","Consell Tributari Municipal (Barcelona)","","","Domini públic","openAccess","","http://creativecommons.org/publicdomain/mark/1.0/deed.ca","Impostos locals","Hisenda","dictàmens","","Subjecció a la taxa. Tramitació d'instruments de planejament (246/99)","","text",""
"Sindicatura de Greuges de Barcelona","","2016. 2017","2017-06-30","2017-07-13","","application/pdf","4 p.","","Núm. Exp. 17Q000148","","","http://hdl.handle.net/11703/105080","cat","","","","Domini públic","openAccess","","http://creativecommons.org/publicdomain/mark/1.0/deed.ca","Reclamacions. Contaminació acústica. Aire condicionat. Façanes","Medi ambient","dictàmens","","Decisió de la Síndica de Greuges referent a una queixa presentada en matèria de contaminació acústica","","text",""
"Consell Tributari Municipal (Barcelona)","Barcelona","","2016-06-22","2016-11","","application/pdf","4 p.","","Núm. Exp. 61/16","consells","","http://hdl.handle.net/11703/99217","cat","","","","Domini públic","openAccess","","http://creativecommons.org/publicdomain/mark/1.0/deed.ca","Impostos sobre activitats econòmiques. Reclamacions","Hisenda","dictàmens","","Gestió de l'impost sobre activitats econòmiques: delegació (61/6)","","text",""
"Consell Tributari Municipal (Barcelona)","Barcelona","","2014-04-30","2014","","application/pdf","4 p.",16906.0,"Núm. Exp. 431/13","consells","","http://hdl.handle.net/11703/87270","cat","Consell Tributari Municipal (Barcelona)","","","Domini públic","openAccess","","http://creativecommons.org/publicdomain/mark/1.0/deed.ca","Procediment administratiu. Impostos locals","Hisenda","dictàmens","","Les SCP tenen personalitat jurídica, per la qual cosa els seus partícips responen per l'art. 40.1 LGT (431/13)","","text",""
"Consell Econòmic i Social de Barcelona","Barcelona","","2007","2007","","application/pdf","11 p.",17641.0,"","consells","","http://hdl.handle.net/11703/87122","cat","Consell Econòmic i Social de Barcelona","","","Domini públic","openAccess","","http://creativecommons.org/publicdomain/mark/1.0/deed.ca","22@bcn (Projecte)","Economia","dictàmens","","Dictamen sobre el projecte Barcelona 22@","","text",""
"Sindicatura de Greuges de Barcelona","","2014. 2015. 2016. 2017","2017-08-11","2017-11-03","","application/pdf","20 p.","","","","","http://hdl.handle.net/11703/106191","cat","","","","Domini públic","openAccess","","http://creativecommons.org/publicdomain/mark/1.0/deed.ca","Servei Municipal de Grues. Infraccions de circulació. Reclamacions","Transport","dictàmens","","Actuació d'ofici realitzada sobre el servei municipal de grua per a la retirada, trasllat i ingrés en el dipòsit municipal de vehicles","","text",""
"Consell Tributari Municipal (Barcelona)","Barcelona","","2011-06-22","2011","","application/pdf","10 p.",16598.0,"Núm. Exp. 4/11","consells","","http://hdl.handle.net/11703/87259","cat","Consell Tributari Municipal (Barcelona)","","","Domini públic","openAccess","","http://creativecommons.org/publicdomain/mark/1.0/deed.ca","Impostos immobiliaris. Exempció d'impostos","Hisenda","dictàmens","","Béns municipals afectes a l'ús o servei públic. Concessió d'aparcament (4/11)","","text",""
"Consell Econòmic i Social de Barcelona","Barcelona","","2010","2010","","application/pdf","6 p.",17631.0,"","consells","","http://hdl.handle.net/11703/87121","cat","Consell Econòmic i Social de Barcelona","","","Domini públic","openAccess","","http://creativecommons.org/publicdomain/mark/1.0/deed.ca","Política econòmica","Economia. Sector públic","dictàmens","","Dictamen sobre el pla d'austeritat econòmica i d'enfortiment de les prioritats de govern de l'Ajuntament de Barcelona","","text",""
"Consell Tributari Municipal (Barcelona)","Barcelona","","2002-07-31","2002","","application/pdf","16 p.",16953.0,"Núm. Exp. 713/2","consells","","http://hdl.handle.net/11703/87319","cat","Consell Tributari Municipal (Barcelona)","","","Domini públic","openAccess","","http://creativecommons.org/publicdomain/mark/1.0/deed.ca","Impostos locals. Deduccions fiscals. Exempció d'impostos","Hisenda","dictàmens","","Universitats. Incidència de l'art. 80.4 de la Llei 6/2001 (713/2)","","text",""
"Consell Tributari Municipal (Barcelona)","Barcelona","","2012-12-12","2012","","application/pdf","3 p.",16883.0,"Núm. Exp. 138/12","consells","","http://hdl.handle.net/11703/87167","cat","Consell Tributari Municipal (Barcelona)","","","Domini públic","openAccess","","http://creativecommons.org/publicdomain/mark/1.0/deed.ca","Impostos locals. Vehicles de motor. Sancions econòmiques","Hisenda","dictàmens","","Terceria de domini. Improcedència: venda de vehicle no acreditada (138/12)","","text",""
"Consell Tributari Municipal (Barcelona)","Barcelona","","2002-04-29","2002","","application/pdf","7 p.",16604.0,"Núm. Exp. 199/1","consells","","http://hdl.handle.net/11703/87193","cat","Consell Tributari Municipal (Barcelona)","","","Domini públic","openAccess","","http://creativecommons.org/publicdomain/mark/1.0/deed.ca","Impostos immobiliaris. Exempció d'impostos","Hisenda","dictàmens","","Llei 30/1994. Assistència de malalts mentals (199/1)","","text",""
"Consell Econòmic i Social de Barcelona","Barcelona","","2001","2001","","application/pdf","7 p.",17645.0,"","consells","","http://hdl.handle.net/11703/87362","cat","Consell Econòmic i Social de Barcelona","","","CC-BY","openAccess","","http://creativecommons.org/licenses/by/4.0/deed.ca","Ferrocarrils","Transport","dictàmens","","Resolució sobre les repercussions de la arribada del tren d'alta velocitat a Barcelona i a l'aeroport","","text",""
"Consell Tributari Municipal (Barcelona)","Barcelona","","2001-11-19","2001","","application/pdf","8 p.",16771.0,"Núm. Exp. 377/1. Impost sobre l'increment de valor dels terrenys de naturalesa urbana - Exempcions","consells","","http://hdl.handle.net/11703/87250","cat","Consell Tributari Municipal (Barcelona)","","","Domini públic","openAccess","","http://creativecommons.org/publicdomain/mark/1.0/deed.ca","Impostos de plusvàlua. Exempció d'impostos","Hisenda","dictàmens","","Fundacions benèfiques (377/1)","","text",""
"Consell Tributari Municipal (Barcelona)","Barcelona","","2012-07-02","2012","","application/pdf","12 p.",17011.0,"Núm. Exp. 8/12","consells","","http://hdl.handle.net/11703/87334","cat","Consell Tributari Municipal (Barcelona)","","","Domini públic","openAccess","","http://creativecommons.org/publicdomain/mark/1.0/deed.ca","Ordenances fiscals. Impostos locals","Hisenda","dictàmens. ordenances fiscals","","Impugnació indirecta en recórrer la liquidació (8/12)","","text",""
"Consell Tributari Municipal (Barcelona)","","","2017-10-11","2017","","application/pdf","8 p.","","Núm. Exp. 186/17","","","http://hdl.handle.net/11703/107611","cat","","","","Domini públic","openAccess","","http://creativecommons.org/publicdomain/mark/1.0/deed.ca","Impostos immobiliaris. Estimació de la base imposable. Béns immobles","Hisenda","dictàmens","","Valor cadastral modificat per error material (186/17)","","text",""
"Sindicatura de Greuges de Barcelona","","","2016-10-13","2016-11-03","Podeu consultar una nota de premsa sobre aquest tema en català a: http://hdl.handle.net/11703/98767 i en castellà a: http://hdl.handle.net/11703/98768","application/pdf","3 p.","","Exp. 16Q000017-MS","","Mandat 2015-","http://hdl.handle.net/11703/98778","cat","","http://hdl.handle.net/11703/98767. http://hdl.handle.net/11703/98768","","Domini públic","openAccess","","http://creativecommons.org/publicdomain/mark/1.0/deed.ca","Parcs infantils. Reclamacions. Supressió de barreres arquitectòniques","Societat i benestar. Cultura i oci","dictàmens","","Decisió de la Síndica de Greuges referent a la queixa presentada en matèria de l'ús d'espai públic","","text",""
"Consell Tributari Municipal (Barcelona)","Barcelona","","2006-07-19","2006","","application/pdf","3 p.",16677.0,"Núm. Exp. 420/5","consells","","http://hdl.handle.net/11703/87269","cat","Consell Tributari Municipal (Barcelona)","","","Domini públic","openAccess","","http://creativecommons.org/publicdomain/mark/1.0/deed.ca","Impostos immobiliaris. Exempció d'impostos","Hisenda","dictàmens","","Llei 6/2001. Universitats (420/5)","","text",""
"Consell Tributari Municipal (Barcelona)","Barcelona","","2006-05-15","2006","","application/pdf","6 p.",16553.0,"Núm. Exp. 66/6","consells","","http://hdl.handle.net/11703/87306","cat","Consell Tributari Municipal (Barcelona)","","","Domini públic","openAccess","","http://creativecommons.org/publicdomain/mark/1.0/deed.ca","Impostos sobre activitats econòmiques. Impostos immobiliaris. Estimació de la base imposable","Hisenda","dictàmens","","Aplicació retroactiva del valor cadastral per error de fet (66/6)","","text",""
