"dccontributorauthor","dccoveragespatial","dccoveragetemporal","dcdatecreated","dcdateissued","dcdescription","dcdescriptionabstract","dcdescriptionsponsorship","dcformat","dcformatextent","dcformatmedium","dcidentifierimagurb","dcidentifierimagurbcd","dcidentifieruri","dcpublisher","dcrights","dcrightsaccessrights","dcrightsrightsHolder","dcrightsuri","dcsubject","dcsubjectforma","dcsubjectimagurb","dctitle","dctype","Unnamed: 24"
"Gri Espinagosa, Josep. Servei d'Elements Urbans","Gal·la Placídia, Plaça (Barcelona)","1947","1993-06-21","2002-01-01","Bibliografia: Vázquez Montalbán, Manuel, ""Barcelona fuente a fuente"". Barcelona : REPSOL, 1990. Benedicto García, J. Manuel. Primer pla de l'escultura pertanyent a la  Font de Blancaneus, creada per l'escultor   Josep Manel Benedicto el 1947.  Aquesta font també es coneguda com la Font  de la Noia amb el Cervató. S'ubica a la plaça Gal·la Placídia","","","image/jpeg","1 supercontacte","Positiu. SUPERCONTACTES. Color","1254. NEUFON710_31",40.0,"http://hdl.handle.net/11703/74634","","CC-BY","openAccess","Ajuntament de Barcelona","http://creativecommons.org/licenses/by/4.0/deed.ca","","fotografies. documents digitalitzats","FONTS. ELEMENTS URBANS. Escultures i monuments. BENEDICTO GARCÍA, J. Manuel","Font de Blancaneus","image",""
"Servei d'Elements Urbans","Lanzarote (Canàries)","","","2002-01-01","Primer pla d'una marquesina blanca a  Lanzarote.  L'element consta d'una paret posterior, dues  laterals, un marc frontal i un sostre en forma  de cúpula. Al seu interior hi ha un banc  i a l'exterior, un fanal i dues petites escales laterals.","","","image/jpeg","1 diapositiva","Diapositiva. DIAPOSITIVES 24x36. Color","318. DEUMARBUS2_15",10.0,"http://hdl.handle.net/11703/73706","","CC-BY","openAccess","Ajuntament de Barcelona","http://creativecommons.org/licenses/by/4.0/deed.ca","","fotografies. documents digitalitzats","MARQUESINES. ELEMENTS URBANS","Marquesina a Lanzarote","image",""
"Gri Espinagosa, Josep. Servei d'Elements Urbans","Barcelona. Districte 3. Sants-Montjuïc. Jardins de Joan Maragall (Barcelona)","","1993-06-14","2002-01-01","""Barcelona art i aigua"". Barcelona : Aldina, 1986. Granero Serra, Lluïsa. Pimer pla d'una font ornamental als Jardins de Joan Maragall, al davant del Pavelló Albéniz. Es tracta d'un estany de forma circular. Al mig d'aquest, hi destaca un brollador de gran alçada. L'element fou realitzat per Lluïsa Granero Serra.","","","image/jpeg","1 supercontacte","Positiu. SUPERCONTACTES. Color","1173. NEUFON700_9",37.0,"http://hdl.handle.net/11703/74553","","CC-BY","openAccess","Ajuntament de Barcelona","http://creativecommons.org/licenses/by/4.0/deed.ca","","fotografies. documents digitalitzats","FONTS. ELEMENTS URBANS. GRANERO SIERRA, Lluïsa","Font ornamental als Jardins de Joan Maragall","image",""
"Servei d'Elements Urbans","","","2003-04-01","2002-10-07","Número de fitxa al catàleg actual: 1.1.1.. Ajuntament de Barcelona. Servei d'Elements Urbans. Dibuix tècnic d'una vorada granítica  mecanitzada,la qual té un acabat   superficial flamejat.","","","application/pdf","1 dibuix tècnic","Positiu. Blanc i negre","1645. DEUVOR1_CV1111","","http://hdl.handle.net/11703/74979","","CC-BY","openAccess","Ajuntament de Barcelona","http://creativecommons.org/licenses/by/4.0/deed.ca","","dibuixos tècnics. documents digitalitzats","ELEMENTS URBANS. VORADES","Vorada granítica mecanitzada","image",""
"Servei d'Elements Urbans","","","2003-04-01","2003-04-01","Número de fitxa al catàleg actual: 1.1.2.. Montes, Antonio. Dibuix tècnic relatiu a una vorada d'embornal  de bústia.   Es mostra tant l'alçat, com la planta de   l'element.","","","application/pdf","1 dibuix tècnic","Positiu. Blanc i negre","1646. DEUVOR1_CV1112","","http://hdl.handle.net/11703/74980","","CC-BY","openAccess","Ajuntament de Barcelona","http://creativecommons.org/licenses/by/4.0/deed.ca","","dibuixos tècnics. documents digitalitzats","ELEMENTS URBANS. VORADES. MONTES GIL, Antonio","Vorada embornal Bústia","image",""
"Cunill, Julio. CBFOTO. Departament d'Arquitectura i Projectes Urbans","Barcelona. Districte 3. Sants-Montjuïc. Parc de Montjuïc (Barcelona). Reina Maria Cristina, Avinguda (Barcelona). Carles Buïgas, Plaça (Barcelona). Espanya, Plaça (Barcelona)","","1985","2017","","","Digitalitzat per Tecnodoc","image/jpeg","1 fotografia","Digitalitzat. TIFF. Color","NEUD03FON3178_17",189.0,"http://hdl.handle.net/11703/104877","","CC-BY-ND","openAccess","Cunill, Julio. CBFOTO. Ajuntament de Barcelona","http://creativecommons.org/licenses/by-nd/4.0/deed.ca","","fotografies. documents digitalitzats","ELEMENTS URBANS. FONTS. BUIGAS, Carlos","Font Màgica i font de la Plaça Espanya","image",""
"Gri Espinagosa, Josep. Servei d'Elements Urbans","Port Vell (Barcelona)","","1994-07-01","2002-01-01","Data aproximada. Viaplana, Albert; Piñón, Helio. Primer pla d'un fanal Pep al Moll de la Fusta,   sobre el paviment. Al costat gespa, i al  fons es veuen edificis i petites   embarcacions del Port Vell.","","","image/jpeg","1 supercontacte","Positiu. SUPERCONTACTES. Color","637. NEUENL1077_11",20.0,"http://hdl.handle.net/11703/74024","","CC-BY","openAccess","Ajuntament de Barcelona","http://creativecommons.org/licenses/by/4.0/deed.ca","","fotografies. documents digitalitzats","ENLLUMENAT. VIAPLANA, Albert. PIÑÓN, Helio. ESCOFET","Llum-i","image",""
"Cunill, Julio. CBFOTO. Servei d’Elements Urbans","Barcelona. Districte 2. Eixample. Corts Catalanes, Gran Via (Barcelona)","","1982","2017","","","Digitalitzat per Tecnodoc","image/jpeg","1 fotografia","Digitalitzat. TIFF. Blanc i negre","NEUD02PMETRO2362_01",189.0,"http://hdl.handle.net/11703/104854","","CC-BY-ND","openAccess","Cunill, Julio. CBFOTO. Ajuntament de Barcelona","http://creativecommons.org/licenses/by-nd/4.0/deed.ca","","fotografies. documents digitalitzats","ELEMENTS URBANS. METRO","Detalls de les parades de metro Urgell i Rocafort","image",""
"Cunill, Julio. Departament d'Arquitectura i Projectes Urbans","Barcelona. Districte 1. Ciutat Vella. Salvador Seguí, Plaça (Barcelona)","","2009-05-13","2009-10-19","Parcs i Jardins. Primer pla d'una tanca cilíndrica de tub de ferro galvanitzat o pintat de 8cm de separació i l'acabat és de cantells arrodonits. S'ha emprat un sistema de tancament basculant de la porta d'accés al recinte.","","","image/jpeg","1 fotografia","Digital. TIFF. Color","31459. EU223TAN_05",223.0,"http://hdl.handle.net/11703/75458","","CC-BY-ND","openAccess","Cunill, Julio. Ajuntament de Barcelona","http://creativecommons.org/licenses/by-nd/4.0/deed.ca","","fotografies","ELEMENTS URBANS. TANQUES. PARCS INFANTILS","Tanca Ronda","image",""
"Cunill, Julio. Servei d'Elements Urbans. CBFOTO","Parc de Sant Martí (Barcelona). Barcelona. Districte 10. Sant Martí","","1987-03-01","2002-01-01","Data aproximada. Pla general d'una part del Parc de Sant Martí, on es presenta en primer pla una marquesina de formigó subjectada per unes columnes i que serveix per a cobrir una font. Aquesta té un canó d'aigua a cada cantó i un brollador central triangular.","","","image/jpeg","1 diapositiva","Diapositiva. DIAPOSITIVES 24x36. Color","298. DEUMAR1_12",10.0,"http://hdl.handle.net/11703/73686","","CC-BY-ND","openAccess","Cunill, Julio. Ajuntament de Barcelona","http://creativecommons.org/licenses/by-nd/4.0/deed.ca","","fotografies. documents digitalitzats","MARQUESINES. ELEMENTS URBANS","Marquesina al Parc de Sant Martí","image",""
"Gri Espinagosa, Josep","Barcelona. Districte 8. Nou Barris. Àngel Pestaña, Plaça (Barcelona). Santa Eulàlia, Plaça (Barcelona)","","1993-08-19","2011-11-09","Codi d'Art Públic: 8801-1 (Font Mutant). Pladevall, Enric (Font mutant)","","","image/jpeg","1 fotografia","Digital. Jpg. Color","-26264. NEUD08FON0732_08",232.0,"http://hdl.handle.net/11703/73350","","CC-BY","openAccess","Ajuntament de Barcelona","http://creativecommons.org/licenses/by/4.0/deed.ca","","fotografies","ELEMENTS URBANS. FONTS. PLACES. Escultures i monuments. PLADEVALL, Enric","Fonts de les places de Santa Eulàlia i d'Àngel Pestaña","image",""
"Cunill, Julio. Departament d'Arquitectura i Projectes Urbans","Barcelona. Districte 6. Gràcia. Lesseps, Plaça (Barcelona)","2000. 1985","2009-07-22","2009-10-06","Milà, Miquel;Santa & Cole. Primer pla d'un grup de tres bancs neoromàntics de pota clàssica i de tres cadires neoromàntiques de pota liviana a la plaça Lesseps. Són de seients de fusta d'iroko i potes de fosa de ferro.","","","image/jpeg","1 fotografia","Digital. TIFF. Color","31376. EU223BAN_06",223.0,"http://hdl.handle.net/11703/75382","","CC-BY-ND","openAccess","Cunill, Julio. Ajuntament de Barcelona","http://creativecommons.org/licenses/by-nd/4.0/deed.ca","","fotografies","ELEMENTS URBANS. BANCS. MILÀ, Miguel. SANTA & COLE","Bancs i cadires neoromàntics","image",""
"Servei d'Elements Urbans","Virrei Amat, Plaça (Barcelona). Barcelona. Districte 8. Nou Barris","","","2002-01-01","Primer pla d'un escocell de formigó. Té forma triangular i s'ubica a la plaça Virrei Amat.","","","image/jpeg","1 diapositiva","Diapositiva. DIAPOSITIVES 24x36. Color","243. DEUESC3_16",8.0,"http://hdl.handle.net/11703/73631","","CC-BY","openAccess","Ajuntament de Barcelona","http://creativecommons.org/licenses/by/4.0/deed.ca","","fotografies. documents digitalitzats","ESCOCELLS. ELEMENTS URBANS","Escocell a Virrei Amat","image",""
"Gri Espinagosa, Josep. Servei d'Elements Urbans","Barcelona. Districte 3. Sants-Montjuïc","","1992-08-13","2002-01-01","Primer pla de l'escultura d'un rèptil, al llac  del Parc de l'Espanya Industrial.  L'element s'eleva una mica, per sobre del  nivell de l'aigua.  L'escultura té adossat un focus, que serveix  per a il·luminar el llac.","","","image/jpeg","1 supercontacte","Positiu. SUPERCONTACTES. Color","866. NEUFON510_16",28.0,"http://hdl.handle.net/11703/74247","","CC-BY","openAccess","Ajuntament de Barcelona","http://creativecommons.org/licenses/by/4.0/deed.ca","","fotografies. documents digitalitzats","ELEMENTS URBANS. FONTS","Font Monumental a la plaça Espanya","image",""
"Gri Espinagosa, Josep. Servei d'Elements Urbans","Carles Buïgas, Plaça (Barcelona)","","1994-08-25","2002-01-01","Data aproximada. Pla mig de l'enllumenat d'un fanal model   Balmes realitzat de fosa grisa, amb cinc   globus de color blanc. Aquest element es  troba a la plaça Carles Buïgas de Montjuïc.","","","image/jpeg","1 supercontacte","Positiu. SUPERCONTACTES. Color","660. NEUENL1090_8",21.0,"http://hdl.handle.net/11703/74047","","CC-BY","openAccess","Ajuntament de Barcelona","http://creativecommons.org/licenses/by/4.0/deed.ca","","fotografies. documents digitalitzats","ENLLUMENAT","Fanal Balmes","image",""
"Gri Espinagosa, Josep. Servei d'Elements Urbans","Guipúscoa, Rambla (Barcelona)","","1997-04-01","2002-01-01","Roselló, Antoni; Asociación Española de Fabricantes de Helados. Pla de detall de l'alçat lateral d'un quiosc   de venda de gelats tancat. S'ubica a la rambla Guipúscoa amb Cantàbria. El sistema d'elevació és hidràulic, els vidres són laminats i l'estructura està realitzada amb perfils tubulars d'acer inoxidable.","","","image/jpeg","1 supercontacte","Positiu. SUPERCONTACTES. Color","1536. NEUQUIGEL2134_7",49.0,"http://hdl.handle.net/11703/74916","","CC-BY","openAccess","Ajuntament de Barcelona","http://creativecommons.org/licenses/by/4.0/deed.ca","","fotografies. documents digitalitzats","Quioscos. Gelats, sorbets, etc.. ROSELLÓ, Antoni","Quiosc venda de gelats","image",""
"Gri Espinagosa, Josep. Servei d'Elements Urbans","Parc del Laberint d'Horta (Barcelona). Barcelona. Districte 7. Horta-Guinardó","","1993-06-30","2002-01-01","Parc del Laberint","","","image/jpeg","1 supercontacte","Positiu. SUPERCONTACTES. Color","1317. NEUFON717_29",42.0,"http://hdl.handle.net/11703/74697","","CC-BY","openAccess","Ajuntament de Barcelona","http://creativecommons.org/licenses/by/4.0/deed.ca","","fotografies. documents digitalitzats","FONTS. ELEMENTS URBANS","Fonts Parc del Laberint","image",""
"Servei d'Elements Urbans","Basses de Sant Pere, Carrer (Barcelona)","","","2002-01-01","Pla general del carrer Basses de Sant Pere  on destaquen unes pilones ornamentals   alineades al costat de la calçada.   Els elements són de fosa grisa.","","","image/jpeg","1 diapositiva","Diapositiva. DIAPOSITIVES 24x36. Color","422. DEUPIL2_19",14.0,"http://hdl.handle.net/11703/73809","","CC-BY","openAccess","Ajuntament de Barcelona","http://creativecommons.org/licenses/by/4.0/deed.ca","","fotografies. documents digitalitzats","PILONES I ELEMENTS DE PROTECCIÓ. ELEMENTS URBANS","Pilona ornamental","image",""
"Gri Espinagosa, Josep. Servei d'Elements Urbans","","","1998-05-09","2002-01-01","Ajuntament de Barcelona. Servei d'Elements Urbans; Cale i Televisió de Catalunya. Pla de detall de la base d'un armari de la  xarxa de telecomunicacions. Està formada  per quatre peces de granit. Les xapes que  composen l'element són d'acer inoxidable.","","","image/jpeg","1 supercontacte","Positiu. SUPERCONTACTES. Color","626. NEUEMBPOU2583A_10",20.0,"http://hdl.handle.net/11703/74013","","CC-BY","openAccess","Ajuntament de Barcelona","http://creativecommons.org/licenses/by/4.0/deed.ca","","fotografies. documents digitalitzats","EMBORNALS I POUS DE REGISTRE. CABLE I TELEVISIÓ DE CATALUNYA, S.A.","Armaris de xarxa de telecomunicacions","image",""
"Servei d'Elements Urbans","Rambla, La (Barcelona)","1992","1993-04-01","2002-01-01","Data aproximada; nformació extreta de l'obra de Josep Ma. Serra: Elementos urbanos, mobiliario y microarquitectura. Badia, Jordi; Sunyer, Tonet. Primer pla d'un quiosc, model Rambla de les  Flors, vist des d'un lateral. Té quatre portes  grans i la seva estructura és de ferro calibrada  i pintada amb vernís d'antracita.  És obert i les plantes i flors s'exposen  mitjançant una grada mòbil.","","","image/jpeg","1 diapositiva","Diapositiva. DIAPOSITIVES 24x36. Color","457. DEUQUIFLO1_16",15.0,"http://hdl.handle.net/11703/73844","","CC-BY","openAccess","Ajuntament de Barcelona","http://creativecommons.org/licenses/by/4.0/deed.ca","","fotografies. documents digitalitzats","Quioscos. FLORISTES. ELEMENTS URBANS. BADIA, Jordi. SUNYER, Tonet. CATALONIA. EPI-MA","Quiosc a La Rambla","image",""
"Gri Espinagosa, Josep. Servei d'Elements Urbans","Pere Figuera i Serra, Plaça (Barcelona). Barcelona. Districte 5. Sarrià-Sant Gervasi","","1997-10-06","2002-01-01","Primer pla d'una original font de color blau   a la plaça Pere Figuera i Serra.  Es troba encastada a terra i té forma de  dues mitges columnes.","","","image/jpeg","1 supercontacte","Positiu. SUPERCONTACTES. Color","825. NEUFON2332_34",26.0,"http://hdl.handle.net/11703/74206","","CC-BY","openAccess","Ajuntament de Barcelona","http://creativecommons.org/licenses/by/4.0/deed.ca","","fotografies. documents digitalitzats","FONTS. ELEMENTS URBANS","Font a la plaça Pere Figuera i Serra","image",""
"Servei d'Elements Urbans","Bèlgica","","","2002-01-01","Pla mig corresponent a una làmpara  Socelec a Bèlgica.","","","image/jpeg","1 diapositiva","Diapositiva. DIAPOSITIVES 24x36. Color","153. DEUENL_9_6",5.0,"http://hdl.handle.net/11703/73541","","CC-BY","openAccess","Ajuntament de Barcelona","http://creativecommons.org/licenses/by/4.0/deed.ca","","fotografies. documents digitalitzats","ENLLUMENAT. ELEMENTS URBANS","Làmpara Socelec a Bégica","image",""
"Gri Espinagosa, Josep. Servei d'Elements Urbans","John F. Kennedy, Plaça (Barcelona). Barcelona. Districte 5. Sarrià-Sant Gervasi","","1993-06-18","2002-01-01","Primer pla d'una font mural a la plaça John  F. Kennedy.   L'element es composa de tres piles de forma   semicircular que recullen l'aigua que raja  d'una aixeta. Les piles tenen mides diferents  i es situen una sobre l'altra.","","","image/jpeg","1 supercontacte","Positiu. SUPERCONTACTES. Color","1226. NEUFON709_22",39.0,"http://hdl.handle.net/11703/74606","","CC-BY","openAccess","Ajuntament de Barcelona","http://creativecommons.org/licenses/by/4.0/deed.ca","","fotografies. documents digitalitzats","FONTS. ELEMENTS URBANS","Font a la plaça John F. Kennedy","image",""
"Gri Espinagosa, Josep. Servei d'Elements Urbans","Barcelona. Districte 4. Les Corts. Jardins del Palau de Pedralbes (Barcelona)","","1993-06-09","2002-01-01","Pla general d'exterior, on es presenta part de la façana principal del Palau de Pedralbes. Hi destaca un estany circular, envoltat de tests amb plantes. També es mostra un petit jardí i arbres.","","","image/jpeg","1 supercontacte","Positiu. SUPERCONTACTES. Color","1130. NEUFON692_20",36.0,"http://hdl.handle.net/11703/74510","","CC-BY","openAccess","Ajuntament de Barcelona","http://creativecommons.org/licenses/by/4.0/deed.ca","","fotografies. documents digitalitzats","FONTS. ELEMENTS URBANS","Font als Jardins del Palau de Pedralbes","image",""
"Gri Espinagosa, Josep. Servei d'Elements Urbans","Verneda, Plaça (Barcelona)","","1997-07-01","2002-01-01","Data aproximada. Henrich, Jordi; Tarrassó, Olga. Primer pla (vist per davant i des d'un lateral)  de tres bancs a la pl. Verneda. No hi ha   separació entre ells, són de disseny  Banc Nu (amb respatller de fusta).","","","image/jpeg","1 supercontacte","Positiu. SUPERCONTACTES. Color","525. NEUBAN2244_23",17.0,"http://hdl.handle.net/11703/73912","","CC-BY","openAccess","Ajuntament de Barcelona","http://creativecommons.org/licenses/by/4.0/deed.ca","","fotografies. documents digitalitzats","BANCS. ELEMENTS URBANS. HENRICH, Jordi","Banc Nu amb respatller de fusta","image",""
"Gri Espinagosa, Josep. Servei d'Elements Urbans","Duc de Medinaceli, Plaça (Barcelona)","","1990-11-20","2002-01-01","Informació extreta de l'obra: Barcelona art i aigua. Barcelona: Aldina, 1986. Projecte de remodelació de la plaça: Francesc Daniel Molina; escultor de la figura: Damià Campeny; escultures de bronze de: Josep Anicet Santigosa Vestraten. Campeny Estrany, Damià. Primer pla d'una columna a la plaça Duc  de Medinaceli.   Es tracta d'un monument a la figura de  l'almirall de la marina, Galceran Marquet.  Al seu basament trobem una font de pedra,  circular.","","","image/jpeg","1 supercontacte","Positiu. SUPERCONTACTES. Color","753. NEUFON111_33",24.0,"http://hdl.handle.net/11703/74139","","CC-BY","openAccess","Ajuntament de Barcelona","http://creativecommons.org/licenses/by/4.0/deed.ca","","fotografies. documents digitalitzats","FONTS. ELEMENTS URBANS. Escultures i monuments. CAMPENY ESTRANY, Damià","Font a la plaça Duc de Medinacelli","image",""
"Gri Espinagosa, Josep. Servei d'Elements Urbans","Catalunya, Plaça (Barcelona)","","1992-07-07","2002-01-01","Roselló, Antoni. Asociación Española de Fabricantes de Helados. Primer pla d'alçat lateral d'un quiosc de   venda de gelats tancat. S'ubica a la plaça   Catalunya. Pertany a l'empresa Frigo.   L'estructura es composa amb perfils tubulars   d'acer inoxidable i vidres laminats.   El sistema d'elevació és hidràulic.","","","image/jpeg","1 contacte","Positiu. CONTACTES 6X6. Color","1542. NEUQUIGELX543_2",49.0,"http://hdl.handle.net/11703/74922","","CC-BY","openAccess","Ajuntament de Barcelona","http://creativecommons.org/licenses/by/4.0/deed.ca","","fotografies. documents digitalitzats","Quioscos. Gelats, sorbets, etc.. ROSELLÓ, Antoni","Quiosc venda de gelats","image",""
"Gri Espinagosa, Josep. Servei d'Elements Urbans","Catalunya, Rambla (Barcelona)","","1996-03-12","2002-01-01","Ajuntament de Barcelona. Servei d'Elements Urbans. Pla general, picat, d'un model de paviment,   el Superpanot 4 pastilles (de formigó   comprimit). Al costat d'aquest, panot estriat,   i altres elements: una paperera Barcelona i  un gual de vianants amb pas de peatons.   S'ubica a la rambla Cataluny","","","image/jpeg","1 supercontacte","Positiu. SUPERCONTACTES. Color","1466. NEUPAV1605_35",46.0,"http://hdl.handle.net/11703/74846","","CC-BY","openAccess","Ajuntament de Barcelona","http://creativecommons.org/licenses/by/4.0/deed.ca","","fotografies. documents digitalitzats","PAVIMENTS","Superpanot de 4 pastilles","image",""
"Gri Espinagosa, Josep. Servei d'Elements Urbans","Barcelona. Districte 3. Sants-Montjuïc. Parc de Montjuïc (Barcelona)","","1993-05-03","2002-01-01","Data aproximada. Pla general d'exterior, on es mostren les escales que condueixen al Generalife. Hi destaca una font de pedra. L'element es situa al Parc de Montjuïc.","","","image/jpeg","1 supercontacte","Positiu. SUPERCONTACTES. Color","1041. NEUFON665_29",33.0,"http://hdl.handle.net/11703/74422","","CC-BY","openAccess","Ajuntament de Barcelona","http://creativecommons.org/licenses/by/4.0/deed.ca","","fotografies. documents digitalitzats","FONTS. ELEMENTS URBANS","Font escales Generalife","image",""
"Gri Espinagosa, Josep. Servei d'Elements Urbans","Mallorca, Carrer (Barcelona). Rogent, Carrer (Barcelona). Barcelona. Districte 10. Sant Martí","","1997-09-29","2002-01-01","Bibliografia: ""Barcelona art i aigua"". Barcelona : Aldina, 1986. Primer pla d'una font a la confluència del  carrer Rogent amb Mallorca.  Es tracta d'una font de fosa de ferro i   basament de pedra.  La seva ornamentació és austera.   De la part central de l'element, s'enlaira   una columna.","","","image/jpeg","1 supercontacte","Positiu. SUPERCONTACTES. Color","820. NEUFON2323_3",26.0,"http://hdl.handle.net/11703/74201","","CC-BY","openAccess","Ajuntament de Barcelona","http://creativecommons.org/licenses/by/4.0/deed.ca","","fotografies. documents digitalitzats","FONTS. ELEMENTS URBANS","Font al carrer Rogent amb Mallorca","image",""
"Cunill, Julio. CBFOTO. Servei d’Elements Urbans","Barcelona. Districte 1. Ciutat Vella. Rambla, La (Barcelona)","","1985","2017","","","Digitalitzat per Tecnodoc","image/jpeg","1 fotografia","Digitalitzat. TIFF. Blanc i negre","NEUD02ENL2901_10",188.0,"http://hdl.handle.net/11703/102881","","CC-BY-ND","openAccess","Cunill, Julio. CBFOTO. Ajuntament de Barcelona","http://creativecommons.org/licenses/by-nd/4.0/deed.ca","","fotografies. documents digitalitzats","ELEMENTS URBANS. FANALS","Fanal per a la Rambla","image",""
"Gri Espinagosa, Josep. Servei d'Elements Urbans","Can Fabra, Plaça (Barcelona). Barcelona. Districte 9. Sant Andreu","","1995-06-23","2002-01-01","Primer pla d'una font de grans dimensions  a la plaça Can Fabra.   L'element es composa d'un estany i d'uns  brolladors, tot i que a la imatge aquests es  troben sense funcionar.   Envoltant l'element hi ha una petita zona de gespa.","","","image/jpeg","1 supercontacte","Positiu. SUPERCONTACTES. Color","789. NEUFON1368_34",25.0,"http://hdl.handle.net/11703/74170","","CC-BY","openAccess","Ajuntament de Barcelona","http://creativecommons.org/licenses/by/4.0/deed.ca","","fotografies. documents digitalitzats","FONTS. ELEMENTS URBANS","Font a la plaça Can Fabra","image",""
"Gri Espinagosa, Josep. Servei d'Elements Urbans","","","1993-07-06","2002-01-01","Plaça del Poble Romaní","","","image/jpeg","1 supercontacte","Positiu. SUPERCONTACTES. Color","1333. NEUFON721_3",42.0,"http://hdl.handle.net/11703/74713","","CC-BY","openAccess","Ajuntament de Barcelona","http://creativecommons.org/licenses/by/4.0/deed.ca","","fotografies. documents digitalitzats","FONTS","Font Plaça del Poble Romaní","image",""
"Gri Espinagosa, Josep. Servei d'Elements Urbans","Barcelona. Districte 1. Ciutat Vella. Hospital, Carrer (Barcelona)","","1993-04-05","2002-01-01","Primer pla d'una fornícula al Carrer Hospital.   Dins d'aquesta es representa l'escena de la  Mare de Déu amb el seu fill en braços,   després de la seva crucifixió. L'envolten   unes rajoles.  Dita escena es situa sobre una font.","","","image/jpeg","1 supercontacte","Positiu. SUPERCONTACTES. Color","920. NEUFON646_16",29.0,"http://hdl.handle.net/11703/74301","","CC-BY","openAccess","Ajuntament de Barcelona","http://creativecommons.org/licenses/by/4.0/deed.ca","","fotografies. documents digitalitzats","ELEMENTS URBANS. FONTS","Fornícula al carrer Hospital","image",""
"Cunill, Julio. Departament d'Arquitectura i Projectes Urbans","","","2009-05-13","2009-10-16","Primer pla d'un paviment d'asfalt i cautxú.  La vorada del paviment asfaltat en color   és mecanitzada granítica d'acabat flamejat.","","","image/jpeg","1 fotografia","Digital. TIFF. Color","31441. EU223PAV_08",223.0,"http://hdl.handle.net/11703/75444","","CC-BY-ND","openAccess","Cunill, Julio. Ajuntament de Barcelona","http://creativecommons.org/licenses/by-nd/4.0/deed.ca","","fotografies","ELEMENTS URBANS. PAVIMENTS","Paviment d'asfalt i cautxú","image",""
"Gri Espinagosa, Josep. Servei d'Elements Urbans","Creu Coberta, Carrer (Barcelona)","","1994-10-22","2002-01-01","Godó, Ramon; Barcelona Tecnología S.A.. Primer pla d'un quiosc de flors model B.T.   amb les portes obertes i el prestatge frontal   desplegat. L'element conté moltes plantes   i flors.","","","image/jpeg","1 contacte","Positiu. CONTACTES 6X6. Color","1532. NEUQUIFLORX618_9",48.0,"http://hdl.handle.net/11703/74912","","CC-BY","openAccess","Ajuntament de Barcelona","http://creativecommons.org/licenses/by/4.0/deed.ca","","fotografies. documents digitalitzats","Quioscos. FLORISTES. GODÓ, Ramon","Quiosc de flors B.T.","image",""
"Cunill, Julio. CBFOTO. Servei d’Elements Urbans","Barcelona. Districte 8. Nou Barris. Rio de Janeiro, Avinguda (Barcelona). Manuel Sanchis Guarner, Carrer (Barcelona)","","1984","2017","","","Digitalitzat per Tecnodoc","image/jpeg","1 fotografia","Digitalitzat. TIFF. Blanc i negre","NEUD08MOB2738_11",189.0,"http://hdl.handle.net/11703/104967","","CC-BY-ND","openAccess","Cunill, Julio. CBFOTO. Ajuntament de Barcelona","http://creativecommons.org/licenses/by-nd/4.0/deed.ca","","fotografies. documents digitalitzats","ELEMENTS URBANS","Accés als habitatges del carrer Manuel Sanchis Guarner","image",""
"Gri Espinagosa, Josep. Servei d'Elements Urbans","Raval, Rambla (Barcelona). Barcelona. Districte 1. Ciutat Vella","","1996-03-28","2002-01-01","Primer pla d'una font mural a la rambla Raval.  Aquesta és de pedra i disposa d'una pila  de desguàs.  Dues aixetes de llautó, s'agafen a un mur.","","","image/jpeg","1 supercontacte","Positiu. SUPERCONTACTES. Color","799. NEUFON1626_8",25.0,"http://hdl.handle.net/11703/74180","","CC-BY","openAccess","Ajuntament de Barcelona","http://creativecommons.org/licenses/by/4.0/deed.ca","","fotografies. documents digitalitzats","ELEMENTS URBANS. FONTS","Font a la rambla Raval","image",""
"Servei d'Elements Urbans","","","","2003-04-01","Número de fitxa al catàleg actual: 5.1.1.. Pericas, Enric. Dibuix tècnic corresponent a un banc,   disseny Bancochenta.  Al document es poden veure les diferents   seccions de l'element, així com la relació   dels materials necessaris per a la seva   realització.","","","application/pdf","1 dibuix tècnic","Positiu. Blanc i negre","1706. DEUBAN2_13","","http://hdl.handle.net/11703/75040","","CC-BY","openAccess","Ajuntament de Barcelona","http://creativecommons.org/licenses/by/4.0/deed.ca","","dibuixos tècnics. documents digitalitzats","ELEMENTS URBANS. BANCS. Pericas, Enric","Bancochenta","image",""
"Servei d'Elements Urbans","","1991","","2002-01-01","LA NAVE. Primer pla d'una barana model Moncloa.  L'element urbà és senzill i s'adapta facilment   dins l'entorn, gràcies al seu disseny.  Esta realitzat amb acer.","","","image/jpeg","1 diapositiva","Diapositiva. DIAPOSITIVES 24x36. Color","80. DEUBAR2_7",2.0,"http://hdl.handle.net/11703/73468","","CC-BY","openAccess","Ajuntament de Barcelona","http://creativecommons.org/licenses/by/4.0/deed.ca","","fotografies. documents digitalitzats","BARANES. ELEMENTS URBANS. LA NAVE","Barana Moncloa","image",""
