"dccontributorauthor","dccoveragespatial","dccoveragetemporal","dccoveragevigencia","dcdatecreated","dcdateissued","dcdatevalidfinal","dcdatevalidinici","dcdescription","dcdescriptionLegislationChangedBy","dcdescriptionLegislationChanges","dcdescriptionsponsorship","dcdescriptiontableofcontents","dcformat","dcformatextent","dcformatmimetype","dcidentifierBG","dcidentifierab","dcidentifiercitation","dcidentifierentitat","dcidentifiermandat","dcidentifieruri","dclanguage","dcpublisher","dcrelation","dcrelationisbasedon","dcrelationisbasisfor","dcrelationisformatof","dcrelationisreplacedby","dcrelationisrequiredby","dcrelationreplaces","dcrelationrequires","dcrights","dcrightsaccessrights","dcrightsrightsHolder","dcrightsuri","dcsubject","dcsubjectcategory","dcsubjectforma","dctitle","dctitlealternative","dctype","dctypedriver","Unnamed: 43"
"Districte 1. Ciutat Vella","Barcelona. Districte 1. Ciutat Vella | Barceloneta (Barcelona : Barri) | Barceloneta, Plaça (Barcelona) | Mar, Carrer (Barcelona) | Sant Miquel, Carrer (Barcelona) | Escuder, Carrer (Barcelona) | Barcelona. District 1. Ciutat Vella | Barceloneta (Barcelona : Neighborhood) | Barceloneta, Square (Barcelona) | Mar, Street (Barcelona) | Sant Miquel, Street (Barcelona) | Escuder, Street (Barcelona) | Barcelona. Distrito 1. Ciutat Vella | Barceloneta (Barcelona : Barrio) | Barceloneta, Plaza (Barcelona) | Mar, Calle (Barcelona) | Sant Miquel, Calle (Barcelona) | Escuder, Calle (Barcelona)","","Si","2017-09-28","2017-12-01","","2017-12-02","Aprovada per la Comissió de Govern de 28-09-2017 | Basat en l'article 79 de l'Ordenança de terrasses [2013] [http://hdl.handle.net/11703/86856]","","","","","application/pdf","11 p.","application/pdf","","OS 03013","Butlletí Oficial de la Província de Barcelona (01-12-2017)","districtes","","http://hdl.handle.net/11703/106487","cat","","","http://hdl.handle.net/11703/86856","","","","","","","Domini públic","info:eu-repo/semantics/openAccess","","http://creativecommons.org/publicdomain/mark/1.0/deed.ca","Espais públics | Terrasses (Hoteleria) | Hoteleria | Bars | Restaurants | Establiments de concurrència pública | Public spaces | Bar terraces | Hospitality industry | Bars (Drinking establishments) | Restaurants | Public areas | Espacios públicos | Terrazas (Hostelería) | Hostelería | Bares | Restaurantes | Establecimientos de concurrencia pública","Comerç","bases ús públic","Ordenació singular de la Plaça de la Barceloneta [2017]","Ordenació singular de terrasses de la Plaça de la Barceloneta [2017]","text","info:eu-repo/semantics/other",""
"Districte 7. Horta-Guinardó","Barcelona. Districte 7. Horta-Guinardó | Sant Genís dels Agudells (Barcelona : Barri) | Sant Cugat, Carretera (Barcelona) | Hort Urbà Masia Can Soler (Barcelona) | Barcelona. Distrito 7. Horta-Guinardó | Sant Genís dels Agudells (Barcelona : Barrio) | Sant Cugat, Carretera (Barcelona) | Hort Urbà Masia Can Soler (Barcelona) | Barcelona. District 7. Horta-Guinardó | Sant Genís dels Agudells (Barcelona : Neighborhood) | Sant Cugat, Carretera (Barcelona) | Hort Urbà Masia Can Soler (Barcelona)","2018 | 2019","Si","2018-10-01","2018-10-09","","2018-10-10","","","","","","application/pdf","2 p.","application/pdf","","","Butlletí Oficial de la Província de Barcelona (09-10-2018)","districtes","","http://hdl.handle.net/11703/111159","cat","","","","","","","","","","Domini públic","info:eu-repo/semantics/openAccess","","http://creativecommons.org/publicdomain/mark/1.0/deed.ca","Horts | Agricultura urbana | Huertos | Agricultura urbana | Vegetable gardening | Urban agriculture","Medi rural i pesca","bases ús públic","Autorització de l'ús de 20 parcel·les de l'Hort de Can Soler [2018]","Concurs d’adjudicació de 20 parcel·les de l'Hort de Can Soler","text","info:eu-repo/semantics/other",""
"Institut Municipal del Paisatge Urbà i la Qualitat de Vida (Barcelona)","Diagonal, Avinguda (Barcelona) | Barcelona. Districte 5. Sarrià-Sant Gervasi | Barcelona. Districte 2. Eixample | Barcelona. Districte 6. Gràcia | Diagonal, Boulevard (Barcelona) | Barcelona. District 5. Sarrià-Sant Gervasi | Barcelona. District 2. Eixample | Barcelona. District 6. Gràcia | Diagonal, Avenida (Barcelona) | Barcelona. Distrito 5. Sarrià-Sant Gervasi | Barcelona. Distrito 2. Eixample | Barcelona. Distrito 6. Gràcia","","Si","2016-02-25","2016-03-10","","2016-03-11","Aprovat per la Comissió de Govern de 25-02-2016","","Afecta el Pla regulador de les autoritzacions de terrasses al Districte de Sarrià-Sant Gervasi [2012] | Afecta els Criteris d'ordenació i superfícies d'ocupació a les places, carrers i altres espais públics del Districte de Gràcia [2006] | Afecta el Pla regulador de les autoritzacions de terrasses, vetlladors i mobiliari auxiliar al Districte de Eixample [2007]","","","application/pdf","20 p.","application/pdf","","","Butlletí Oficial de la Província de Barcelona (10-03-2016)","organismes autònoms | districtes","","http://hdl.handle.net/11703/91775","cat","","","","","","","http://hdl.handle.net/11703/85856 | http://hdl.handle.net/11703/84393 | http://hdl.handle.net/11703/85857","","","CC-BY","info:eu-repo/semantics/openAccess","Ajuntament de Barcelona","http://creativecommons.org/licenses/by/4.0/deed.ca","Espais públics | Hoteleria | Establiments de concurrència pública | Bars | Restaurants | Terrasses (Hoteleria) | Public spaces | Hospitality industry | Public areas | Bars (Drinking establishments) | Restaurants | Bar terraces | Espacios públicos | Hostelería | Establecimientos de concurrencia pública | Bares | Restaurantes | Terrazas (Hostelería)","Comerç","bases ús públic","Ordenació singular de terrasses de l'avinguda Diagonal, en el tram comprès entra la plaça Francesc Macià i el Passeig de Gràcia [2016]","","text","info:eu-repo/semantics/other",""
"Districte 9. Sant Andreu","Barcelona. Districte 9. Sant Andreu | Arc del Mercat, Carrer (Barcelona) | Pons i Gallarza, Carrer (Barcelona) | Barcelona. District 9. Sant Andreu | Arc del Mercat, Street (Barcelona) | Pons i Gallarza, Street (Barcelona) | Barcelona. Distrito 9. Sant Andreu | Arc del Mercat, Calle (Barcelona) | Pons i Gallarza, Calle (Barcelona)","","Si","2017-04-20","2017-07-18","","2017-07-19","Aprovada per la Comissió de Govern de 20-04-2017","","Modifica l'Annex II de l'Ordenança de terrasses [2013] [http://hdl.handle.net/11703/86856]","","","application/pdf","15 p.","application/pdf","","","Butlletí Oficial de la Província de Barcelona (18-07-2017)","districtes","","http://hdl.handle.net/11703/105050","cat","","","","","","","http://hdl.handle.net/11703/86856","","","Domini públic","info:eu-repo/semantics/openAccess","","http://creativecommons.org/publicdomain/mark/1.0/deed.ca","Establiments de concurrència pública | Terrasses (Hoteleria) | Espais públics | Bars | Restaurants | Hoteleria | Public areas | Bar terraces | Public spaces | Bars (Drinking establishments) | Restaurants | Hospitality industry | Establecimientos de concurrencia pública | Terrazas (Hostelería) | Espacios públicos | Bares | Restaurantes | Hostelería","Urbanisme i infraestructures","bases ús públic","Ordenació singular de terrasses dels carrers de Pons i Gallarza i de l'Arc del Mercat [2017]","Ordenança de terrasses [2013] : modificació [2017-04-20]","text","info:eu-repo/semantics/other",""
"Districte 4. Les Corts | Alcaldia","Barcelona. Districte 4. Les Corts | Barcelona. Distrito 4. Les Corts | Barcelona. District 4. Les Corts | Corts (Barcelona : Barri) | Corts (Barcelona : Barrio) | Corts (Barcelona : Neighborhood) | Can Rosés, Plaça (Barcelona) | Can Rosés, Plaza (Barcelona) | Can Rosés, Square (Barcelona) | Déu i Mata, Carrer (Barcelona) | Déu i Mata, Calle (Barcelona) | Déu i Mata, Street (Barcelona) | Concòrdia, Plaça (Barcelona) | Concòrdia, Plaza (Barcelona) | Concòrdia, Square (Barcelona) | Remei, Carrer (Barcelona) | Remei, Calle (Barcelona) | Remei, Street (Barcelona) | Benavent, Carrer (Barcelona) | Benavent, Calle (Barcelona) | Benavent, Street (Barcelona) | Sant Ramon Nonat, Avinguda (Barcelona) | Sant Ramon Nonat, Avenida (Barcelona) | Sant Ramon Nonat, Avenue (Barcelona) | Carme, Plaça (Barcelona) | Carme, Plaza (Barcelona) | Carme, Square (Barcelona) | Sòl de Baix, Plaça (Barcelona) | Sòl de Baix, Plaza (Barcelona) | Sòl de Baix, Square (Barcelona) | Corts, Plaça (Barcelona) | Corts, Plaza (Barcelona) | Corts, Square (Barcelona) | Comas, Plaça (Barcelona) | Comas, Plaza (Barcelona) | Comas, Square (Barcelona)","","Si","2019-08-02","2019-09-05","","","Aprovat per Decret de l'Alcaldia de 02-08-2019 | Basat en l'article 30.2 de l'Ordenança de terrasses [2013] [http://hdl.handle.net/11703/86856]","","","","","application/pdf","2 documents","application/pdf","","S1/D/2019-1729","Gaseta Municipal de Barcelona (05-09-2019) | Butlletí Oficial de la Província de Barcelona (10-09-2019)","districtes","","http://hdl.handle.net/11703/115421","cat","","","http://hdl.handle.net/11703/86856","","","","","","","Domini públic","info:eu-repo/semantics/openAccess","","http://creativecommons.org/publicdomain/mark/1.0/deed.ca","Horaris comercials | Espais públics | Bars | Restaurants | Terrasses (Hoteleria) | Hoteleria | Establiments de concurrència pública | Festes majors | Business hours | Public spaces | Bars (Drinking establishments) | Restaurants | Bar terraces | Hospitality industry | Establishments open to the public | Festivals | Horarios comerciales | Espacios públicos | Bares | Restaurantes | Terrazas (Hostelería) | Hostelería | Establecimientos de concurrencia pública | Fiestas","Comerç","bases ús públic | decrets","Horaris de les terrasses : les Corts : modificació temporal amb motiu de la celebració de la Festa Major [2019]","","text","info:eu-repo/semantics/other | info:eu-repo/semantics/other",""
"Districte 1. Ciutat Vella","Barcelona. Districte 1. Ciutat Vella | Barcelona. Distrito 1. Ciutat Vella | Barcelona. Distrito 1. Ciutat Vella | Barcelona. District 1. Ciutat Vella | Gòtic (Barcelona : Barri) | Gòtic (Barcelona : Barrio) | Gòtic (Barcelona : Neighborhood)","2020","Si","2019-07-18","2019-07-24","2020-12-31","2020-01-01","Aprovació definitiva pel Districte de Ciutat Vella el 18-07-2019 | Suspensió convocatòria aprovada pel Regidor del Districte de Ciutat Vella el 26-07-2019 | Aixecament de la suspensió de la convocatòria aprovada pel Primer Tinent Alcalde el 20-08-2019","","","","","application/pdf","6 documents","application/pdf","","19-SJS-22","Gaseta Municipal de Barcelona (24-07-2019) | Butlletí Oficial de la Província de Barcelona (26-07-2019) | Suspensió convocatòria: Butlletí Oficial de la Província de Barcelona (02-08-2019) | Suspensió convocatòria: Gaseta Municipal de Barcelona (02-08-2019) | Aixecament suspensió : Butlletí Oficial de la Província de Barcelona (28-08-2019) | Suspensió convocatòria: Gaseta Municipal de Barcelona (03-09-2019)","districtes","","http://hdl.handle.net/11703/115104","cat","Districte de Ciutat Vella","","","","","","","","","Domini públic","info:eu-repo/semantics/openAccess","","http://creativecommons.org/publicdomain/mark/1.0/deed.ca","Espais públics | Llicències comercials | Licencias comerciales | Trade licenses | Fires | Ferias | Fairs | Venda ambulant | Comercio ambulante | Peddling","Comerç","bases ús públic","Adjudicació de les parades de la Fira d'Artesania de l'Avinguda del Portal de l'Àngel [2020]","","text","info:eu-repo/semantics/other",""
"Districte 7. Horta-Guinardó","Barcelona. Districte 7. Horta-Guinardó | Eivissa, Plaça (Barcelona) | Pere Pau, Carrer (Barcelona) | Barcelona. District 7. Horta-Guinardó | Eivissa, Square (Barcelona) | Pere Pau, Street (Barcelona) | Barcelona. Distrito 7. Horta-Guinardó | Eivissa, Plaza (Barcelona) | Pere Pau, Calle (Barcelona)","","Si","2017-04-27","2017-05-17","","2017-05-18","Aprovada per la Comissió de Govern de 27-04-2017 | Basat en l'article 79 de l'Ordenança de terrasses [2013] [http://hdl.handle.net/11703/86856]","","","","","application/pdf","18 p.","application/pdf","","Núm. Exp. 07-0S4301","Butlletí Oficial de la Província de Barcelona (17-05-2017)","districtes","","http://hdl.handle.net/11703/102251","cat","","","http://hdl.handle.net/11703/86856","","","","","","","Domini públic","info:eu-repo/semantics/openAccess","","http://creativecommons.org/publicdomain/mark/1.0/deed.ca","Espais públics | Terrasses (Hoteleria) | Hoteleria | Establiments de concurrència pública | Bars | Restaurants | Public spaces | Bar terraces | Hospitality industry | Public areas | Bars (Drinking establishments) | Restaurants | Espacios públicos | Terrazas (Hostelería) | Hostelería | Establecimientos de concurrencia pública | Bares | Restaurantes","Comerç","bases ús públic","Ordenació singular de terrasses a la Plaça Eivissa i Entorns [2017]","","text","info:eu-repo/semantics/other",""
"Districte 9. Sant Andreu","Barcelona. Districte 9. Sant Andreu | Sant Andreu (Barcelona : Barri) | Onze de Setembre, Rambla (Barcelona) | Fabra i Puig, Rambla (Barcelona) | Barcelona. District 9. Sant Andreu | Sant Andreu (Barcelona : Neighborhood) | Onze de Setembre, Rambla (Barcelona) | Fabra i Puig, Rambla (Barcelona) | Barcelona. Distrito 9. Sant Andreu | Sant Andreu (Barcelona : Barrio) | Onze de Setembre, Rambla (Barcelona) | Fabra i Puig, Rambla (Barcelona)","","Si","2016-02-16","2017-03-22","","2017-03-23","Aprovada per la Comissió de Govern de 16-02-2016 | Basat en el Capítol 6 de l'Ordenança de Terrasses [2013] [http://hdl.handle.net/11703/86856]","","","","","application/pdf","40 p.","application/pdf","","","Butlletí Oficial de la Província de Barcelona (22-03-2017), p. 1-40","districtes","","http://hdl.handle.net/11703/101512","cat","","","http://hdl.handle.net/11703/86856","","","","","","","Domini públic","info:eu-repo/semantics/openAccess","","http://creativecommons.org/publicdomain/mark/1.0/deed.ca","Espais públics | Bars | Restaurants | Terrasses (Hoteleria) | Hoteleria | Establiments de concurrència pública | Public spaces | Bars (Drinking establishments) | Restaurants | Bar terraces | Hospitality industry | Public areas | Espacios públicos | Bares | Restaurantes | Terrazas (Hostelería) | Hostelería | Establecimientos de concurrencia pública","Comerç","bases ús públic","Ordenació singular de terrasses de la Rambla Onze de setembre i de la Rambla de Fabra i Puig [2017]","","text","info:eu-repo/semantics/other",""
"Districte 9. Sant Andreu","Barcelona. Districte 9. Sant Andreu | Sant Andreu (Barcelona : Barri) | Comerç, Plaça (Barcelona) | Barcelona. District 9. Sant Andreu | Sant Andreu (Barcelona : Neighborhood) | Comerç, Square (Barcelona) | Barcelona. Distrito 9. Sant Andreu | Sant Andreu (Barcelona : Barrio) | Comerç, Plaza (Barcelona)","","Si","2016-11-24","2017-02-09","","2017-02-10","Aprovat per la Comissió de Govern de 24-11-2016 | Basat en l'article 79 de l'Ordenança de terrasses [2013] [http://hdl.handle.net/11703/86856]","","","","1. Memòria; 2. Normativa; 3. Documentació gràfica","application/pdf","11 p.","application/pdf","","","Butlletí Oficial de la Província de Barcelona (09-02-2017)","districtes","","http://hdl.handle.net/11703/101680","cat","","","http://hdl.handle.net/11703/86856","","","","","","","Domini públic","info:eu-repo/semantics/openAccess","","http://creativecommons.org/publicdomain/mark/1.0/deed.ca","Espais públics | Terrasses (Hoteleria) | Hoteleria | Establiments de concurrència pública | Public spaces | Bar terraces | Hospitality industry | Public areas | Espacios públicos | Terrazas (Hostelería) | Hostelería | Establecimientos de concurrencia pública","Comerç","bases ús públic","Ordenació singular de terrasses de la Plaça del Comerç [2016]","","text","info:eu-repo/semantics/other",""
"Districte 1. Ciutat Vella","Barcelona. Districte 1. Ciutat Vella | Sant Pere, Santa Caterina i la Ribera (Barcelona : Barri) | Olles, Plaça (Barcelona) | Rere Palau, Carrer (Barcelona) | Marquès de l'Argentera, Avinguda (Barcelona) | Barcelona. District 1. Ciutat Vella | Sant Pere, Santa Caterina i la Ribera (Barcelona : Neighborhood) | Olles, Square (Barcelona) | Rere Palau, Street (Barcelona) | Marquès de l'Argentera, Avenue (Barcelona) | Barcelona. Distrito 1. Ciutat Vella | Sant Pere, Santa Caterina i la Ribera (Barcelona : Barrio) | Olles, Plaza (Barcelona) | Rere Palau, Calle (Barcelona) | Marquès de l'Argentera, Avenida (Barcelona)","","Si","2017-09-28","2017-12-01","","2017-12-02","Aprovada per la Comissió de Govern de 28-09-2017 | Basat en l'article 79 de l'Ordenança de terrasses [2013] [http://hdl.handle.net/11703/86856]","","","","","application/pdf","9 p.","application/pdf","","OS 03049","Butlletí Oficial de la Província de Barcelona (01-12-2017)","districtes","","http://hdl.handle.net/11703/106489","cat","","","http://hdl.handle.net/11703/86856","","","","","","","Domini públic","info:eu-repo/semantics/openAccess","","http://creativecommons.org/publicdomain/mark/1.0/deed.ca","Espais públics | Terrasses (Hoteleria) | Hoteleria | Bars | Restaurants | Establiments de concurrència pública | Public spaces | Bar terraces | Hospitality industry | Bars (Drinking establishments) | Restaurants | Public areas | Espacios públicos | Terrazas (Hostelería) | Hostelería | Bares | Restaurantes | Establecimientos de concurrencia pública","Comerç","bases ús públic","Ordenació singular de la Plaça de les Olles i el carrer Rere Palau [2017]","Ordenació singular de terrasses de la Plaça de les Olles i el carrer Rere Palau [2017]","text","info:eu-repo/semantics/other",""
"Districte 2. Eixample","Barcelona. Districte 2. Eixample | Sagrada Família (Barcelona : Barri) | Gaudí, Avinguda (Barcelona) | Barcelona. District 2. Eixample | Sagrada Família (Barcelona : Neighborhood) | Gaudí, Avenue (Barcelona) | Barcelona. Distrito 2. Eixample | Sagrada Família (Barcelona : Barrio) | Gaudí, Avenida (Barcelona)","","Si","2013-05-20","2015-06-22","","2015-06-23","Aprovada per la Comissió de Govern de 20-05-2015 | Basat en l'article 79 de l'Ordenança de terrasses [2013] [http://hdl.handle.net/11703/86856]","","","","","application/pdf","14 p.","application/pdf","19373","","Butlletí Oficial de la Província de Barcelona (22-06-2015)","districtes","","http://hdl.handle.net/11703/85869","cat","","","http://hdl.handle.net/11703/86856","","","","","","","Domini públic","info:eu-repo/semantics/openAccess","","http://creativecommons.org/publicdomain/mark/1.0/deed.ca","Espais públics | Bars | Restaurants | Terrasses (Hoteleria) | Establiments de concurrència pública | Public spaces | Bars (Drinking establishments) | Restaurants | Bar terraces | Public areas | Espacios públicos | Bares | Restaurantes | Terrazas (Hostelería) | Establecimientos de concurrencia pública","Comerç","bases ús públic","Ordenació singular de terrasses de l'avinguda Gaudí [2015]","","text","info:eu-repo/semantics/other",""
"Districte 8. Nou Barris","Barcelona. Districte 8. Nou Barris | Barcelona. District 8. Nou Barris | Barcelona. Distrito 8. Nou Barris","","Si","2011-02-21","2011-03-15","","2011-03-16","Aprovat per la Comissió de Govern del Districte de Nou Barris de 21-02-2011","Derogat parcialment per l'Ordenança de terrasses [2013] [http://hdl.handle.net/11703/86856]","Substitueix el Pla regulador de les autoritzacions de terrasses al Districte de Nou Barris [2006] [http://hdl.handle.net/11703/97872]","","","application/pdf","17 p.","application/pdf","9936","","Butlletí Oficial de la Província de Barcelona (15-03-2011)","districtes","","http://hdl.handle.net/11703/86398","cat","","","","","","","","http://hdl.handle.net/11703/97872","http://hdl.handle.net/11703/86856","Domini públic","info:eu-repo/semantics/openAccess","","http://creativecommons.org/publicdomain/mark/1.0/deed.ca","Espais públics | Bars | Restaurants | Terrasses (Hoteleria) | Hoteleria | Establiments de concurrència pública | Public spaces | Bars (Drinking establishments) | Restaurants | Bar terraces | Hospitality industry | Public areas | Espacios públicos | Bares | Restaurantes | Terrazas (Hostelería) | Hostelería | Establecimientos de concurrencia pública","Comerç","bases ús públic","Pla regulador de les autoritzacions de terrasses al Districte de Nou Barris [2011]","","text","info:eu-repo/semantics/other",""
"Institut Municipal del Paisatge Urbà i la Qualitat de Vida (Barcelona)","Barcelona. Districte 2. Eixample | Dreta de l'Eixample (Barcelona : Barri) | Catalunya, Rambla (Barcelona) | Barcelona. District 2. Eixample | Dreta de l'Eixample (Barcelona : Neighborhood) | Catalunya, Rambla (Barcelona) | Barcelona. Distrito 2. Eixample | Dreta de l'Eixample (Barcelona : Barrio) | Catalunya, Rambla (Barcelona)","","Si","2015-02-04","2015-02-16","","2015-02-17","Aprovat per la Comissió de Govern de 21-01-2015 | Basat en l'article 79 de l'Ordenança de terrasses [2013] [http://hdl.handle.net/11703/86856]","","","","Conté: Ordenació | Conté: Correcció d'errades","application/pdf","31 p.","application/pdf","17865 | 18351","","Butlletí Oficial de la Província de Barcelona (16-02-2015)","organismes autònoms","","http://hdl.handle.net/11703/85864","cat","","","http://hdl.handle.net/11703/85856","","","","","","","Domini públic","info:eu-repo/semantics/openAccess","","http://creativecommons.org/publicdomain/mark/1.0/deed.ca","Espais públics | Bars | Restaurants | Terrasses (Hoteleria) | Hoteleria | Establiments de concurrència pública | Public spaces | Bars (Drinking establishments) | Restaurants | Bar terraces | Hospitality industry | Public areas | Espacios públicos | Bares | Restaurantes | Terrazas (Hostelería) | Hostelería | Establecimientos de concurrencia pública","Comerç","bases ús públic","Ordenació singular de terrasses de Rambla de Catalunya [2015]","","text","info:eu-repo/semantics/other",""
"Districte 1. Ciutat Vella","Requesens,  Carrer de (Barcelona) | Barcelona. Districte 1. Ciutat Vella | Sant Pere, Santa Caterina i la Ribera (Barcelona : Barri) | Requesens,  Street (Barcelona) | Barcelona. District 1. Ciutat Vella | Sant Pere, Santa Caterina i la Ribera (Barcelona : Neighborhood) | Requesens,  Calle de (Barcelona) | Barcelona. Distrito 1. Ciutat Vella | Sant Pere, Santa Caterina i la Ribera (Barcelona : Barrio)","","Si","2017-09-28","2017-12-04","","2017-12-05","Aprovada per la Comissió de Govern de 28-09-2017 | Basat en l'article 79 de l'Ordenança de terrasses [2013] [http://hdl.handle.net/11703/86856]","","","","","application/pdf","9 p.","application/pdf","OS 01067","","Butlletí Oficial de la Província de Barcelona (04-12-2017)","districtes","","http://hdl.handle.net/11703/106492","cat","","","http://hdl.handle.net/11703/86856","","","","","","","Domini públic","info:eu-repo/semantics/openAccess","","http://creativecommons.org/publicdomain/mark/1.0/deed.ca","Espais públics | Bars | Restaurants | Terrasses (Hoteleria) | Hoteleria | Public spaces | Bars (Drinking establishments) | Restaurants | Bar terraces | Hospitality industry | Espacios públicos | Bares | Restaurantes | Terrazas (Hostelería) | Hostelería","Comerç","bases ús públic","Ordenació singular del carrer Requesens [2017]","Ordenació singular de terrasses del carrer Requesens [2017]","text","info:eu-repo/semantics/other",""
"Districte 6. Gràcia","Barcelona. Districte 6. Gràcia | Vila de Gràcia (Barcelona : Barri) | Diamant, Plaça (Barcelona) | Astúries, Carrer (Barcelona) | Or, Carrer (Barcelona) | Barcelona. District 6. Gràcia | Vila de Gràcia (Barcelona : Neighborhood) | Diamant, Square (Barcelona) | Astúries, Street (Barcelona) | Or, Street (Barcelona) | Barcelona. Distrito 6. Gràcia | Vila de Gràcia (Barcelona : Barrio) | Diamant, Plaza (Barcelona) | Astúries, Calle (Barcelona) | Or, Calle (Barcelona)","","Si","2017-10-26","2017-12-14","","2017-12-15","Aprovada per la Comissió de Govern de 26-10-2017 | Basat en l'article 79 de l'Ordenança de terrasses [2013] [http://hdl.handle.net/11703/86856]","","","","","application/pdf","12 p.","application/pdf","","Núm. Exp. 06-2016OS-0006","Butlletí Oficial de la Província de Barcelona (14-12-2017)","districtes","","http://hdl.handle.net/11703/106669","cat","","","http://hdl.handle.net/11703/86856","","","","","","","Domini públic","info:eu-repo/semantics/openAccess","","http://creativecommons.org/publicdomain/mark/1.0/deed.ca","Espais públics | Terrasses (Hoteleria) | Hoteleria | Bars | Restaurants | Establiments de concurrència pública | Public spaces | Bar terraces | Hospitality industry | Bars (Drinking establishments) | Restaurants | Public areas | Espacios públicos | Terrazas (Hostelería) | Hostelería | Bares | Restaurantes | Establecimientos de concurrencia pública","Comerç","bases ús públic","Ordenació singular de la Plaça del Diamant [2017]","Ordenació singular de terrasses de la Plaça del Diamant [2017]","text","info:eu-repo/semantics/other",""
"Districte 6. Gràcia","Terol, Carrer (Barcelona) | Ramon y Cajal, Carrer (Barcelona | Barcelona. Districte 6. Gràcia | Vila de Gràcia (Barcelona : Barri) | Revolució de Setembre de 1868, Plaça (Barcelona) | Terol, Street (Barcelona) | Ramon y Cajal, Street (Barcelona | Barcelona. District 6. Gràcia | Vila de Gràcia (Barcelona : Neighborhood) | Revolució de Setembre de 1868, Square (Barcelona) | Terol, Calle (Barcelona) | Ramon y Cajal, Calle (Barcelona | Barcelona. Distrito 6. Gràcia | Vila de Gràcia (Barcelona : Barrio) | Revolució de Setembre de 1868, Plaza (Barcelona)","","Si","2017-10-26","2017-12-14","","2017-12-15","Basat en l'article 79 de l'Ordenança de terrasses [2013] [http://hdl.handle.net/11703/86856] | Aprovada per la Comissió de Govern de 26-10-2017","","","","","application/pdf","15 p.","application/pdf","","Núm. Exp.  06-2016OS-0001","Butlletí Oficial de la Província de Barcelona (14-12-2017)","districtes","","http://hdl.handle.net/11703/106667","cat","","","http://hdl.handle.net/11703/86856","","","","","","","Domini públic","info:eu-repo/semantics/openAccess","","http://creativecommons.org/publicdomain/mark/1.0/deed.ca","Espais públics | Terrasses (Hoteleria) | Hoteleria | Bars | Restaurants | Establiments de concurrència pública | Public spaces | Bar terraces | Hospitality industry | Bars (Drinking establishments) | Restaurants | Public areas | Espacios públicos | Terrazas (Hostelería) | Hostelería | Bares | Restaurantes | Establecimientos de concurrencia pública","Comerç","bases ús públic","Ordenació singular de la Plaça de la Revolució de Setembre de 1868 [2017]","Ordenació singular de terrasses de la Plaça de la Revolució de Setembre de 1868 [2017]","text","info:eu-repo/semantics/other",""
"Districte 6. Gràcia","Barcelona. Districte 6. Gràcia | Vila de Gràcia (Barcelona : Barri) | Vila de Gràcia, Plaça de la (Barcelona) | Goya, Carrer (Barcelona) | Diluvi, Carrer (Barcelona) | Penedès, Carrer (Barcelona) | Mozart, Carrer (Barcelona) | Francisco Giner, Carrer (Barcelona) | Sant Domènec, Carrer (Barcelona) | Mariana Pineda, Carrer (Barcelona) | Matilde, Carrer (Barcelona) | Barcelona. District 6. Gràcia | Vila de Gràcia (Barcelona : Neighborhood) | Vila de Gràcia, Square (Barcelona) | Goya, Street (Barcelona) | Diluvi, Street (Barcelona) | Penedès, Street (Barcelona) | Mozart, Street (Barcelona) | Francisco Giner, Street (Barcelona) | Sant Domènec, Street (Barcelona) | Mariana Pineda, Street (Barcelona) | Matilde, Street (Barcelona) | Barcelona. Distrito 6. Gràcia | Vila de Gràcia (Barcelona : Barrio) | Vila de Gràcia, Plaza de la (Barcelona) | Goya, Calle (Barcelona) | Diluvi, Calle (Barcelona) | Penedès, Calle (Barcelona) | Mozart, Calle (Barcelona) | Francisco Giner, Calle (Barcelona) | Sant Domènec, Calle (Barcelona) | Mariana Pineda, Calle (Barcelona) | Matilde, Calle (Barcelona)","","Si","2017-10-26","2017-12-14","","2017-12-15","Aprovada per la Comissió de Govern de 26-10-2017 | Basat en l'article 79 de l'Ordenança de terrasses [2013] [http://hdl.handle.net/11703/86856]","","","","","application/pdf","12 p.","application/pdf","","Núm. Exp. 06-2016OS-0007","Butlletí Oficial de la Província de Barcelona (14-12-2017)","districtes","","http://hdl.handle.net/11703/106678","cat","","","http://hdl.handle.net/11703/86856","","","","","","","Domini públic","info:eu-repo/semantics/openAccess","","http://creativecommons.org/publicdomain/mark/1.0/deed.ca","Espais públics | Terrasses (Hoteleria) | Hoteleria | Bars | Restaurants | Establiments de concurrència pública | Public spaces | Bar terraces | Hospitality industry | Bars (Drinking establishments) | Restaurants | Public areas | Espacios públicos | Terrazas (Hostelería) | Hostelería | Bares | Restaurantes | Establecimientos de concurrencia pública","Comerç","bases ús públic","Ordenació singular de la Plaça de la Vila de Gràcia [2017]","Ordenació singular de terrasses de la  Plaça de la Vila de Gràcia [2017]","text","info:eu-repo/semantics/other",""
