"dccontributorauthor","dccontributorother","dccoveragespatial","dccoveragetemporal","dcdatecreated","dcdateissued","dcdescription","dcdescriptionabstract","dcdescriptionsponsorship","dcformat","dcformatextent","dcformatmedium","dcidentifierimagurb","dcidentifierimagurbcd","dcidentifieruri","dcpublisher","dcrelation","dcrights","dcrightsaccessrights","dcrightsnotes","dcrightsrightsHolder","dcrightsuri","dcsubject","dcsubjectforma","dcsubjectimagurb","dctitle","dctype","Unnamed: 27"
"Gri Espinagosa, Josep. Sector d'Urbanisme","","Barcelona. Districte 10. Sant Martí. Fòrum, Plaça del (Barcelona)",2004.0,"2004-09-08","2004-10-19","Torres, Elies; Martínez Lapeña, José Antonio (arquitectes, autors del projecte de la pèrgola). Primer pla, contrapicat, de la placa fotovoltaica situada a la part central de l'esplanada del Fòrum. Es tracta de 10. 500 m2 de plaques que aportaran l'energia suficient per alimentar les necessitats d'un poble de més de 1000 habitants.","","","image/jpeg","1 fotografia","Digital. TIFF. Color","26031. 0084a039_04",84.0,"http://hdl.handle.net/11703/65402","","","CC-BY","openAccess","","Ajuntament de Barcelona","http://creativecommons.org/licenses/by/4.0/deed.ca","","fotografies","INFRAESTRUCTURA D'ENERGIA. FÒRUM UNIVERSAL DE LES CULTURES. TORRES, Elies. MARTÍNEZ LAPEÑA, J.A.","Placa fotovoltaica","image",""
"Gri Espinagosa, Josep. Sector d'Urbanisme","","Barcelona. Districte 10. Sant Martí. Fòrum, Plaça del (Barcelona)",2004.0,"2004-09-08","2004-10-19","Torres, Elies; Martínez Lapeña, José Antonio (arquitectes, autors del projecte de la pèrgola). Pla general on es mostra la part central de l'esplanada del Fòrum. Hi destaquen els 10. 500 m2 de placa fotovoltaica que aportaran a la xarxa elèctrica 1, 3 MW, l'energia suficient per alimentar les necessitats d'un poble de més de 1000 habitants.","","","image/jpeg","1 fotografia","Digital. TIFF. Color","26023. 0084a039_01",84.0,"http://hdl.handle.net/11703/65397","","","CC-BY","openAccess","","Ajuntament de Barcelona","http://creativecommons.org/licenses/by/4.0/deed.ca","","fotografies","FÒRUM UNIVERSAL DE LES CULTURES. INFRAESTRUCTURA D'ENERGIA. TORRES, Elies. MARTÍNEZ LAPEÑA, J.A.","Placa fotovoltaica","image",""
"Gri Espinagosa, Josep. Sector d'Urbanisme","","Barcelona. Districte 10. Sant Martí. Fòrum, Plaça del (Barcelona)",2004.0,"2004-09-08","2004-10-19","Torres, Elies; Martínez Lapeña, José Antonio (arquitectes, autors del projecte de la pèrgola). Primer pla de la placa fotovoltaica, situada a la part central de l'esplanada del Fòrum. Es tracta de 10. 500 m2 de plaques que aportaran a la xarxa elèctrica, l'energia suficient per alimentar les necessitats d'un poble de més de 1000 habitants.","","","image/jpeg","1 fotografia","Digital. TIFF. Color","26027. 0084a039_03",84.0,"http://hdl.handle.net/11703/65399","","","CC-BY","openAccess","","Ajuntament de Barcelona","http://creativecommons.org/licenses/by/4.0/deed.ca","","fotografies","FÒRUM UNIVERSAL DE LES CULTURES. INFRAESTRUCTURA D'ENERGIA. TORRES, Elies. MARTÍNEZ LAPEÑA, J.A.","Placa fotovoltaica","image",""
"Gri Espinagosa, Josep. Sector d'Urbanisme","","Barcelona. Districte 10. Sant Martí. Fòrum, Plaça del (Barcelona)",2004.0,"2004-09-08","2004-10-18","Gódia, Sergi; Andújar, Miguel Ángel (autors del projecte). Pla general, on es mostra part del Port  esportiu.  El Port té una capacitat per a uns 1.000 amarraments.  La superfície total d'actuació és de 311.000 m2 a l'aigua  i 146.000 m2 a terra.","","","image/jpeg","1 fotografia","Digital. TIFF. Color","26006. 0084a040_03",84.0,"http://hdl.handle.net/11703/65385","","","CC-BY","openAccess","","Ajuntament de Barcelona","http://creativecommons.org/licenses/by/4.0/deed.ca","","fotografies","FÒRUM UNIVERSAL DE LES CULTURES. PORTS. EDIFICIS. GÓDIA, Sergi. ANDÚJAR, Miguel Ángel","Port esportiu","image",""
"Gri Espinagosa, Josep. Sector d'Urbanisme","","Fòrum, Plaça del (Barcelona). Barcelona. Districte 10. Sant Martí",2004.0,"2004-09-08","2004-10-19","Gódia, Sergi; Andújar, Miguel Ángel (autors del projecte). Pla general, on es mostra el Port esportiu.  El Port té una capacitat per a uns 1.000 amarraments.  La superfície total d'actuació és de 311.000 m2 a l'aigua  i 146.000 m2 a terra. Una part de la superfície es destinarà  a activitats comercials.","","","image/jpeg","1 fotografia","Digital. TIFF. Color","26022. 0084a040_13",84.0,"http://hdl.handle.net/11703/65396","","","CC-BY","openAccess","","Ajuntament de Barcelona","http://creativecommons.org/licenses/by/4.0/deed.ca","","fotografies","FÒRUM UNIVERSAL DE LES CULTURES. PORTS. GÓDIA, Sergi. ANDÚJAR, Miguel Ángel","Port esportiu","image",""
"Gri Espinagosa, Josep. Sector d'Urbanisme","","Barcelona. Districte 10. Sant Martí. Fòrum, Plaça del (Barcelona)",2004.0,"2004-09-08","2004-10-18","Gódia, Sergi; Andújar, Miguel Ángel (autors del projecte). Pla general, on es mostra el Port esportiu.  El Port té una capacitat per a uns 1.000 amarraments.  La superfície total d'actuació és de 311.000 m2 a l'aigua  i 146.000 m2 a terra. Una part de la superfície es destinarà  a activitats comercials.","","","image/jpeg","1 fotografia","Digital. TIFF. Color","26004. 0084a040_01",84.0,"http://hdl.handle.net/11703/65383","","","CC-BY","openAccess","","Ajuntament de Barcelona","http://creativecommons.org/licenses/by/4.0/deed.ca","","fotografies","PORTS. FÒRUM UNIVERSAL DE LES CULTURES. PORTS. GÓDIA, Sergi. ANDÚJAR, Miguel Ángel","Port esportiu","image",""
"Gri Espinagosa, Josep. Sector d'Urbanisme","","Barcelona. Districte 10. Sant Martí. Fòrum, Plaça del (Barcelona)",2004.0,"2004-09-08","2004-10-18","Gódia, Sergi; Andújar, Miguel Ángel (autors del projecte). Pla general, on es mostra el Port esportiu.  El Port té una capacitat per a uns 1.000 amarraments.  La superfície total d'actuació és de 311.000 m2 a l'aigua  i 146.000 m2 a terra. Una part de la superfície es destinarà  a activitats comercials.","","","image/jpeg","1 fotografia","Digital. TIFF. Color","26007. 0084a040_04",84.0,"http://hdl.handle.net/11703/65386","","","CC-BY","openAccess","","Ajuntament de Barcelona","http://creativecommons.org/licenses/by/4.0/deed.ca","","fotografies","FÒRUM UNIVERSAL DE LES CULTURES. PORTS. ANDÚJAR, Miguel Ángel. GÓDIA, Sergi","Port esportiu","image",""
"Gri Espinagosa, Josep. Sector d'Urbanisme","","Barcelona. Districte 10. Sant Martí. Fòrum, Plaça del (Barcelona)",2004.0,"2004-09-08","2004-10-18","Gódia, Sergi; Andújar, Miguel Ángel (autors del projecte). Primer pla d'una part del Port esportiu, situat  a la part nord del Recinte Fòrum.  El Port té capacitat per a mil amarradors.  La superfície total d'actuació és de 311.000 m2 a l'aigua  i 146.000 m2 a terra.   Al fons, edificis de Barcelona.","","","image/jpeg","1 fotografia","Digital. TIFF. Color","26011. 0084a040_08",84.0,"http://hdl.handle.net/11703/65389","","","CC-BY","openAccess","","Ajuntament de Barcelona","http://creativecommons.org/licenses/by/4.0/deed.ca","","fotografies","FÒRUM UNIVERSAL DE LES CULTURES. PORTS. GÓDIA, Sergi. ANDÚJAR, Miguel Ángel","Port esportiu","image",""
"Gri Espinagosa, Josep. Sector d'Urbanisme","","Barcelona",2004.0,"2004-09-08","2004-10-19","Primer pla d'una part de la maqueta   corresponent a ""Barcelona riu a riu"" dins  l'exposició ""Barcelona in progress"".  L'exposició mostra el desenvolupament  urbà de la ciutat de Barcelona.","","","image/jpeg","1 fotografia","Digital. TIFF. Color","26035. 0084a042_02",84.0,"http://hdl.handle.net/11703/65406","","","CC-BY","openAccess","","Ajuntament de Barcelona","http://creativecommons.org/licenses/by/4.0/deed.ca","","maquetes","FÒRUM UNIVERSAL DE LES CULTURES. EXPOSICIONS. DESENVOLUPAMENT URBÀ. MAQUETES. BARCELONA GENERAL","Exposició Barcelona in Progress","image",""
"Gri Espinagosa, Josep. Sector d'Urbanisme","","Barcelona",2004.0,"2004-09-16","2004-10-21","Primer pla d'una part de la maqueta   corresponent a ""Barcelona riu a riu"" dins  l'exposició ""Barcelona in progress"".  L'exposició mostra el desenvolupament  urbà de la ciutat de Barcelona.","","","image/jpeg","1 fotografia","Digital. TIFF. Color","26064. 0084a042_03",84.0,"http://hdl.handle.net/11703/65422","","","CC-BY","openAccess","","Ajuntament de Barcelona","http://creativecommons.org/licenses/by/4.0/deed.ca","","maquetes","FÒRUM UNIVERSAL DE LES CULTURES. EXPOSICIONS. DESENVOLUPAMENT URBÀ. MAQUETES. BARCELONA GENERAL","Exposició Barcelona in Progress","image",""
"Gri Espinagosa, Josep. Sector d'Urbanisme","","Barcelona",2004.0,"2004-09-16","2004-10-21","Primer pla d'una part de la maqueta   corresponent a ""Barcelona riu a riu"" dins  l'exposició ""Barcelona in progress"".  L'exposició mostra el desenvolupament  urbà de la ciutat de Barcelona.","","","image/jpeg","1 fotografia","Digital. TIFF. Color","26066. 0084a042_05",84.0,"http://hdl.handle.net/11703/65424","","","CC-BY","openAccess","","Ajuntament de Barcelona","http://creativecommons.org/licenses/by/4.0/deed.ca","","maquetes","FÒRUM UNIVERSAL DE LES CULTURES. EXPOSICIONS. DESENVOLUPAMENT URBÀ. MAQUETES. BARCELONA GENERAL","Exposició Barcelona in Progress","image",""
"Gri Espinagosa, Josep. Sector d'Urbanisme","","Barcelona",2004.0,"2004-09-16","2004-10-21","Primer pla d'una part de la maqueta   corresponent a ""Barcelona riu a riu"" dins  l'exposició ""Barcelona in progress"".  L'exposició mostra el desenvolupament  urbà de la ciutat de Barcelona.","","","image/jpeg","1 fotografia","Digital. TIFF. Color","26068. 0084a042_07",84.0,"http://hdl.handle.net/11703/65426","","","CC-BY","openAccess","","Ajuntament de Barcelona","http://creativecommons.org/licenses/by/4.0/deed.ca","","maquetes","FÒRUM UNIVERSAL DE LES CULTURES. EXPOSICIONS. DESENVOLUPAMENT URBÀ. MAQUETES. BARCELONA GENERAL","Exposició Barcelona in Progress","image",""
"Gri Espinagosa, Josep. Sector d'Urbanisme","","Barcelona. Districte 10. Sant Martí. Parc dels Auditoris (Barcelona)",2004.0,"2004-09-08","2004-10-19","Zaera, Alejandro. Primeríssim primer pla del paviment relatiu al Parc dels Auditoris. Els panots són de formigó i tenen forma de mitja lluna. El conjunt imita les cintes repartidores de maletes dels aeroports.","","","image/jpeg","1 fotografia","Digital. TIFF. Color","26044. 0084a041_09",84.0,"http://hdl.handle.net/11703/65413","","","CC-BY","openAccess","","Ajuntament de Barcelona","http://creativecommons.org/licenses/by/4.0/deed.ca","","fotografies","FÒRUM UNIVERSAL DE LES CULTURES. PARCS. ELEMENTS URBANS. PAVIMENTS. ZAERA, Alejandro","Panot Eruga, al Parc dels Auditoris","image",""
"Gri Espinagosa, Josep. Sector d'Urbanisme","","Barcelona. Districte 10. Sant Martí. Parc dels Auditoris (Barcelona)",2004.0,"2004-09-08","2004-10-19","Zaera, Alejandro. Primer pla d'una part del Parc dels Auditoris. El Parc es troba ubicat entre l'Esplanada i el mar. Aquest espai, de 7 hectàrees, projecte d'Alejandro Zaera, és la continuació de la gran plaça.","","","image/jpeg","1 fotografia","Digital. TIFF. Color","26037. 0084a041_03",84.0,"http://hdl.handle.net/11703/65407","","","CC-BY","openAccess","","Ajuntament de Barcelona","http://creativecommons.org/licenses/by/4.0/deed.ca","","fotografies","FÒRUM UNIVERSAL DE LES CULTURES. PARCS. ZAERA, Alejandro","Parc dels Auditoris","image",""
"Gri Espinagosa, Josep. Sector d'Urbanisme","","Barcelona. Districte 10. Sant Martí. Parc dels Auditoris (Barcelona)",2004.0,"2004-09-08","2004-10-19","Zaera, Alejandro. Primer pla d'una àrea de jocs infantils dins el Parc dels Auditoris. El Parc es troba emplaçat entre l'Esplanada i el mar. Es tracta d'un espai de 7 hectàrees, projecte d'Alejandro Zaera, continuació de la gran plaça.","","","image/jpeg","1 fotografia","Digital. TIFF. Color","26038. 0084a041_04",84.0,"http://hdl.handle.net/11703/65408","","","CC-BY","openAccess","","Ajuntament de Barcelona","http://creativecommons.org/licenses/by/4.0/deed.ca","","fotografies","FÒRUM UNIVERSAL DE LES CULTURES. PARCS. ZAERA, Alejandro","Parc dels Auditoris, o, Parc litoral sudoest","image",""
"Gri Espinagosa, Josep. Sector d'Urbanisme","","Barcelona. Districte 10. Sant Martí. Parc dels Auditoris (Barcelona). Llevant, Plaça (Barcelona)",2004.0,"2004-09-08","2004-10-19","Zaera, Alejandro. Primer pla del paviment relatiu al Parc dels Auditoris, o, Parc litoral sudoest. El Parc consta d'un espai de 7 hectàrees, continuació de la gran plaça. Hi destaquen les seves dunes, que salvaran el desnivell entre la plaça i el mar.","","","image/jpeg","1 fotografia","Digital. TIFF. Color","26042. 0084a041_07",84.0,"http://hdl.handle.net/11703/65411","","","CC-BY","openAccess","","Ajuntament de Barcelona","http://creativecommons.org/licenses/by/4.0/deed.ca","","fotografies","FÒRUM UNIVERSAL DE LES CULTURES. PARCS. ZAERA, Alejandro","Parc dels Auditoris, o, Parc litoral sudoest","image",""
"Gri Espinagosa, Josep. Sector d'Urbanisme","","Barcelona. Districte 10. Sant Martí. Parc dels Auditoris (Barcelona)",2004.0,"2004-09-08","2004-10-19","Zaera, Alejandro. Primer pla d'una part del Parc dels Auditoris, on es mostren les escales que porten al mar. El Parc dels Auditoris es situa entre l'Esplanada i el mar.","","","image/jpeg","1 fotografia","Digital. TIFF. Color","26040. 0084a041_05",84.0,"http://hdl.handle.net/11703/65409","","","CC-BY","openAccess","","Ajuntament de Barcelona","http://creativecommons.org/licenses/by/4.0/deed.ca","","fotografies","FÒRUM UNIVERSAL DE LES CULTURES. PARCS. ZAERA, Alejandro","Parc dels Auditoris, o, Parc litoral sudoest","image",""
"Gri Espinagosa, Josep. Sector d'Urbanisme","","Fòrum, Plaça del (Barcelona). Barcelona. Districte 10. Sant Martí",2004.0,"2004-09-08","2004-10-18","Gódia, Sergi; Andújar, Miguel Ángel (autors del projecte). Primer pla de la passarel·la del Fòrum Universal  de les Cultures.  Aquesta es troba suspesa, i va des del  Mirador del Port, fins al Moll de la Marina, tot  creuant-lo, i facilitant l'accés.  Al fons, es mostren les xemeneies de la  Central Tèrmica.","","","image/jpeg","1 fotografia","Digital. TIFF. Color","26009. 0084a040_06",84.0,"http://hdl.handle.net/11703/65387","","","CC-BY","openAccess","","Ajuntament de Barcelona","http://creativecommons.org/licenses/by/4.0/deed.ca","","fotografies","PORTS. FÒRUM UNIVERSAL DE LES CULTURES. GÓDIA, Sergi. ANDÚJAR, Miguel Ángel","Passarel·la del Port esportiu","image",""
"Gri Espinagosa, Josep. Sector d'Urbanisme","","Fòrum, Plaça del (Barcelona). Barcelona. Districte 10. Sant Martí",2004.0,"2004-09-08","2004-10-19","Torres, Elies; Martínez Lapeña, José Antonio (arquitectes, autors del projecte de la pèrgola). Primer pla de la placa fotovoltaica, situada a la part central de l'esplanada del Fòrum. Es tracta de 10. 500 m2 de plaques que aportaran a la xarxa elèctrica, l'energia suficient per alimentar les necessitats d'un poble de més de 1000 habitants.","","","image/jpeg","1 fotografia","Digital. TIFF. Color","26024. 0084a039_02",84.0,"http://hdl.handle.net/11703/65398","","","CC-BY","openAccess","","Ajutnament de Barcelona","http://creativecommons.org/licenses/by/4.0/deed.ca","","fotografies","FÒRUM UNIVERSAL DE LES CULTURES. INFRAESTRUCTURA D'ENERGIA. TORRES, Elies. MARTÍNEZ LAPEÑA, J.A.","Placa fotovoltaica","image",""
"Gri Espinagosa, Josep. Sector d'Urbanisme","","Barcelona. Districte 10. Sant Martí. Fòrum, Plaça del (Barcelona)",2004.0,"2004-09-08","2004-10-19","Torres, Elies; Martínez Lapeña, José Antonio (arquitectes, autors del projecte de la pèrgola). Primer pla de la placa fotovoltaica, situada a la part central de l'esplanada del Fòrum. Es tracta de 10. 500 m2 de plaques que aportaran a la xarxa elèctrica, l'energia suficient per alimentar les necessitats d'un poble de més de 1000 habitants.","","","image/jpeg","1 fotografia","Digital. TIFF. Color","26032. 0084a039_05",84.0,"http://hdl.handle.net/11703/65403","","","CC-BY","openAccess","","Ajuntament de Barcelona","http://creativecommons.org/licenses/by/4.0/deed.ca","","fotografies","FÒRUM UNIVERSAL DE LES CULTURES. INFRAESTRUCTURA D'ENERGIA. TORRES, Elies. MARTÍNEZ LAPEÑA, J.A.","Placa fotovoltaica","image",""
"Gri Espinagosa, Josep. Sector d'Urbanisme","","Barcelona. Districte 10. Sant Martí. Fòrum, Plaça del (Barcelona)",2004.0,"2004-09-08","2004-10-19","Torres, Elies; Martínez Lapeña, José Antonio (arquitectes, autors del projecte de la pèrgola). Primer pla, de la placa fotovoltaica situada a la part central de l'esplanada del Fòrum. Es tracta de 10. 500 m2 de plaques que aportaran a la xarxa elèctrica, l'energia suficient per alimentar les necessitats d'un poble de més de 1000 habitants.","","","image/jpeg","1 fotografia","Digital. TIFF. Color","26033. 0084a039_06",84.0,"http://hdl.handle.net/11703/65404","","","CC-BY","openAccess","","Ajuntament de Barcelona","http://creativecommons.org/licenses/by/4.0/deed.ca","","fotografies","FÒRUM UNIVERSAL DE LES CULTURES. INFRAESTRUCTURA D'ENERGIA. TORRES, Elies. MARTÍNEZ LAPEÑA, J.A.","Placa fotovoltaica","image",""
"Gri Espinagosa, Josep. Sector d'Urbanisme","","Barcelona. Districte 10. Sant Martí. Fòrum, Plaça del (Barcelona)",2004.0,"2004-09-08","2004-10-18","Gódia, Sergi; Andújar, Miguel Ángel (autors del projecte). Primer pla de la passarel·la del Port Esportiu,  situat a la part nord del Recinte Fòrum.  La passarel·la es troba suspesa, i va des del  Mirador del Port, fins al Moll de la Marina, tot  creuant-lo, i facilitant l'accés al Parc de la Pau.","","","image/jpeg","1 fotografia","Digital. TIFF. Color","26016. 0084a040_11",84.0,"http://hdl.handle.net/11703/65392","","","CC-BY","openAccess","","Ajuntament de Barcelona","http://creativecommons.org/licenses/by/4.0/deed.ca","","fotografies","FÒRUM UNIVERSAL DE LES CULTURES. PORTS. GÓDIA, Sergi. ANDÚJAR, Miguel Ángel","Port esportiu","image",""
"Gri Espinagosa, Josep. Sector d'Urbanisme","","Barcelona. Districte 10. Sant Martí. Fòrum, Plaça del (Barcelona)",2004.0,"2004-09-08","2004-10-18","Gódia, Sergi; Andújar, Miguel Ángel (autors del projecte). Pla general, on es mostra el Port esportiu.  La superfície total d'actuació és de 311.000 m2 a l'aigua  i 146.000 m2 a terra.  Al fons, es mostra la central tèrmica i la planta  de valorització energètica.","","","image/jpeg","1 fotografia","Digital. TIFF. Color","26010. 0084a040_07",84.0,"http://hdl.handle.net/11703/65388","","","CC-BY","openAccess","","Ajuntament de Barcelona","http://creativecommons.org/licenses/by/4.0/deed.ca","","fotografies","PORTS. FÒRUM UNIVERSAL DE LES CULTURES. GÓDIA, Sergi. ANDÚJAR, Miguel Ángel","Port esportiu","image",""
"Gri Espinagosa, Josep. Sector d'Urbanisme","","Barcelona. Districte 10. Sant Martí. Fòrum, Plaça del (Barcelona)",2004.0,"2004-09-08","2004-10-18","Gódia, Sergi; Andújar, Miguel Ángel (autors del projecte). Pla general, on es mostra el Port esportiu.  La superfície total d'actuació és de 311.000 m2 a l'aigua  i 146.000 m2 a terra.  Al fons, es mostra la central de cicle combinat,  i la planta de vaporització energètica.","","","image/jpeg","1 fotografia","Digital. TIFF. Color","26013. 0084a040_10",84.0,"http://hdl.handle.net/11703/65391","","","CC-BY","openAccess","","Ajuntament de Barcelona","http://creativecommons.org/licenses/by/4.0/deed.ca","","fotografies","PORTS. FÒRUM UNIVERSAL DE LES CULTURES. GÓDIA, Sergi. ANDÚJAR, Miguel Ángel","Port esportiu","image",""
"Gri Espinagosa, Josep. Sector d'Urbanisme","","Barcelona. Districte 10. Sant Martí. Fòrum, Plaça del (Barcelona)",2004.0,"2004-09-08","2004-10-19","Gódia, Sergi; Andújar, Miguel Ángel (autors del projecte). Pla general on es mostra un mur de  contenció, al mar.  Es troba situat dins el Port esportiu del Recinte Fòrum.  La superfície total d'actuació del Port és  de 311.000 m2 a l'aigua, i 146.000 m2 a terra.","","","image/jpeg","1 fotografia","Digital. TIFF. Color","26020. 0084a040_12",84.0,"http://hdl.handle.net/11703/65394","","","CC-BY","openAccess","","Ajuntament de Barcelona","http://creativecommons.org/licenses/by/4.0/deed.ca","","fotografies","PORTS. FÒRUM UNIVERSAL DE LES CULTURES. GÓDIA, Sergi. ANDÚJAR, Miguel Ángel","Port esportiu","image",""
"Gri Espinagosa, Josep. Sector d'Urbanisme","","Barcelona. Districte 10. Sant Martí. Fòrum, Plaça del (Barcelona)",2004.0,"2004-09-08","2004-10-18","Gódia, Sergi; Andújar, Miguel Ángel (autors del projecte). Primer pla d'una part del Port esportiu, concretament  de les escales.  El Port té una capacitat per a uns 1.000 amarraments.  Una part de la superfície es destinada  a activitats comercial i a la construcció de  nous aparcaments.","","","image/jpeg","1 fotografia","Digital. TIFF. Color","26005. 0084a040_02",84.0,"http://hdl.handle.net/11703/65384","","","CC-BY","openAccess","","Ajuntament de Barcelona","http://creativecommons.org/licenses/by/4.0/deed.ca","","fotografies","FÒRUM UNIVERSAL DE LES CULTURES. PORTS. GÓDIA, Sergi. ANDÚJAR, Miguel Ángel","Port esportiu","image",""
"Gri Espinagosa, Josep. Sector d'Urbanisme","","Barcelona. Districte 10. Sant Martí. Fòrum, Plaça del (Barcelona)",2004.0,"2004-09-08","2004-10-18","Gódia, Sergi; Andújar, Miguel Ángel (autors del projecte). Pla general, on es mostra part del Port  esportiu.  El Port té una capacitat per a uns 1.000 amarraments.  La superfície total d'actuació és de 311.000 m2  a l'aigua i 146.000 m2 a terra.","","","image/jpeg","1 fotografia","Digital. TIFF. Color","26012. 0084a040_09",84.0,"http://hdl.handle.net/11703/65390","","","CC-BY","openAccess","","Ajuntament de Barcelona","http://creativecommons.org/licenses/by/4.0/deed.ca","","fotografies","PORTS. FÒRUM UNIVERSAL DE LES CULTURES. GÓDIA, Sergi. ANDÚJAR, Miguel Ángel","Port esportiu","image",""
"Departament d'Arquitectura. Gri Espinagosa, Josep","","Barcelona. Districte 1. Ciutat Vella. Sant Jaume, Plaça (Barcelona)","","2004-07-27","2004-10-22","Ajuntament de Barcelona. Departament d'Arquitectura. Primer pla, picat, d'un dels domassos del  Saló de Cent.  Es mostra el domàs en la seva totalitat, així  com alguns estris utilitzats en la restauració.","","","image/jpeg","1 fotografia","Digital. TIFF. Color","26079. 0084a035_02",84.0,"http://hdl.handle.net/11703/65431","","","CC-BY","openAccess","","Ajuntament de Barcelona","http://creativecommons.org/licenses/by/4.0/deed.ca","","fotografies","PATRIMONI. TAPISSOS. RESTAURACIÓ","Restauració dels domassos del Saló de Cent","image",""
"Gri Espinagosa, Josep. Sector d'Urbanisme","","Barcelona. Districte 10. Sant Martí",2004.0,"2004-09-16","2004-10-21","Primer pla del plafó relatiu a l'Exposició:  ""Barcelona in Progress"", concretament  a l'apartat que porta per títol: ""Barcelona,  riu a riu"".  L'exposició mostra el desenvolupament  urbà de la ciutat de Barcelona.","","","image/jpeg","1 fotografia","Digital. TIFF. Color","26063. 0084a042_01",84.0,"http://hdl.handle.net/11703/65421","","","CC-BY","openAccess","","Ajuntament de Barcelona","http://creativecommons.org/licenses/by/4.0/deed.ca","","fotografies","FÒRUM UNIVERSAL DE LES CULTURES. EXPOSICIONS. DESENVOLUPAMENT URBÀ","Exposició Barcelona in Progress","image",""
"Gri Espinagosa, Josep. Sector d'Urbanisme","","Barcelona",2004.0,"2004-09-16","2004-10-21","Primer pla d'una part de la maqueta   corresponent a ""Barcelona riu a riu"" dins  l'exposició ""Barcelona in progress"".  L'exposició mostra el desenvolupament  urbà de la ciutat de Barcelona.","","","image/jpeg","1 fotografia","Digital. TIFF. Color","26065. 0084a042_04",84.0,"http://hdl.handle.net/11703/65423","","","CC-BY","openAccess","","Ajuntament de Barcelona","http://creativecommons.org/licenses/by/4.0/deed.ca","","maquetes","FÒRUM UNIVERSAL DE LES CULTURES. EXPOSICIONS. DESENVOLUPAMENT URBÀ. MAQUETES. BARCELONA GENERAL","Exposició Barcelona in Progress","image",""
"Departament d'Arquitectura. Gri Espinagosa, Josep","","Barcelona. Districte 1. Ciutat Vella. Sant Jaume, Plaça (Barcelona)","","2004-07-27","2004-10-22","Ajuntament de Barcelona. Departament d'Arquitectura. Primer pla, picat, en el que es mostra el procés  de restauració dels domassos del Saló de Cent.  Podem veure una de les persones encarregades  de la restauració d'aquests teixits, la qual  està treballant en un dels detalls del domàs.","","","image/jpeg","1 fotografia","Digital. TIFF. Color","26080. 0084a035_08",84.0,"http://hdl.handle.net/11703/65432","","","CC-BY","openAccess","","Ajuntament de Barcelona","http://creativecommons.org/licenses/by/4.0/deed.ca","","fotografies","PATRIMONI. TAPISSOS. RESTAURACIÓ","Restauració dels domassos del Saló de Cent","image",""
"Gabinet d'Estudis Urbanístics. Barnada López, Jaume","","","","","2003-10-07","","","","image/jpeg","1 diapositiva","Diapositiva. 24 X 36 cm. Color","16340. DBGACC01_07",51.0,"http://hdl.handle.net/11703/63848","","","CC-BY","openAccess","","Ajuntament de Barcelona","http://creativecommons.org/licenses/by/4.0/deed.ca","","fotografies. documents digitalitzats","ACCESSIBILITAT. METRO","[Accessibilitat al Metro]","image",""
"Gabinet d'Estudis Urbanístics. Barnada López, Jaume","","","","","2003-10-07","","","","image/jpeg","1 diapositiva","Diapositiva. 24 X 36 cm. Color","16368. DBGACC02_16",51.0,"http://hdl.handle.net/11703/63876","","","CC-BY","openAccess","","Ajuntament de Barcelona","http://creativecommons.org/licenses/by/4.0/deed.ca","","fotografies. documents digitalitzats","ACCESSIBILITAT. ELEMENTS URBANS. ESCOCELLS","[Escocells]","image",""
"Gabinet d'Estudis Urbanístics. Barnada López, Jaume","","Barcelona","","","2003-10-07","","","","image/jpeg","1 diapositiva","Diapositiva. 24 X 36 cm. Color","16343. DBGACC01_10",51.0,"http://hdl.handle.net/11703/63851","","","CC-BY","openAccess","","Ajuntament de Barcelona","http://creativecommons.org/licenses/by/4.0/deed.ca","","fotografies. documents digitalitzats","ACCESSIBILITAT. MERCATS","[Rampa d'accés a un mercat]","image",""
"Gabinet d'Estudis Urbanístics. Barnada López, Jaume","","Barcelona. Districte 9. Sant Andreu. Onze de Setembre, Rambla (Barcelona)","","","2003-10-07","","","","image/jpeg","1 diapositiva","Diapositiva. 24 X 36 cm. Color","17589. DBGXVV09_05",56.0,"http://hdl.handle.net/11703/65097","","","CC-BY","openAccess","","Ajuntament de Barcelona","http://creativecommons.org/licenses/by/4.0/deed.ca","","fotografies. documents digitalitzats","XARXA VIÀRIA. VIARI","[Rambla Onze de Setembre]","image",""
"Gabinet d'Estudis Urbanístics. Barnada López, Jaume","","Barcelona","","","2003-10-07","","","","image/jpeg","1 diapositiva","Diapositiva. 24 X 36 cm. Color","16357. DBGACC02_04",51.0,"http://hdl.handle.net/11703/63865","","","CC-BY","openAccess","","Ajuntament de Barcelona","http://creativecommons.org/licenses/by/4.0/deed.ca","","fotografies. documents digitalitzats","ELEMENTS URBANS. BANCS","[Bancs i altres elements urbans al carrer]","image",""
"Gabinet d'Estudis Urbanístics. Barnada López, Jaume","","Barcelona","","","2003-10-07","","","","image/jpeg","1 diapositiva","Diapositiva. 24 X 36 cm. Color","16346. DBGACC01_13",51.0,"http://hdl.handle.net/11703/63854","","","CC-BY","openAccess","","Ajuntament de Barcelona","http://creativecommons.org/licenses/by/4.0/deed.ca","","fotografies. documents digitalitzats","ACCESSIBILITAT","[Ascensor d'accés al Metro]","image",""
